"","ctr_1","ctr_2","ctr_3","ctr_4","ctr_7","ctr_8","ctr_9","ctr_10","ctr_11","ctr_14","ctr_21","mg_1","mg_2","mg_3","mg_4","mg_7","mg_8","mg_9","mg_10","mg_11","mg_14","mg_21"
"O00429",7.55600327282605,7.8630375262604,7.47916676156925,7.45137551942357,6.44798167027655,7.15460460557467,6.93319446978445,6.48181349372128,6.74543387004258,6.47435102989179,6.99364188618407,7.60785267843574,7.6659389754269,6.55651722135893,7.54689296986248,7.54770075711705,6.63876787773294,7.14037431050199,6.51987993550759,7.09376975872434,7.29030754803611,6.61019609142485
"O00469",8.83810213440433,8.74755546967106,8.65120022044926,8.6438092541131,8.63536520735195,8.3081401836347,8.29112079413297,8.95395290841605,8.81977500221434,9.04454904525787,8.94820182245779,8.66189778863721,8.64014171511318,8.48569958697562,8.55051081421102,8.39159202628312,8.12183543785162,8.41702100070471,8.72972600360498,8.72951093360814,8.99185198145427,9.17107239579335
"O00487",7.53801710117089,7.56340805009609,5.88740902739563,6.73145649090842,6.15170012061006,6.94817415152893,6.72539841009673,6.63979329717486,7.51306643892965,6.47247965394579,7.66129995801587,7.71280078666348,6.52790882851807,6.41109934215615,6.57704209210708,7.28434198398378,6.38685473325515,7.27145462152526,7.31307809868794,7.59409002239503,7.50433721256118,7.98235468435718
"O00571",8.37724135641125,8.47809582079738,8.2929041559707,8.20499620959603,8.05033693025347,8.26558170663049,7.9016382318396,8.23522356930528,7.72462195657898,6.33198134817712,7.53245770454751,8.33425582648459,8.51451841832401,8.42026795124228,8.36445736162394,8.25213216109899,7.91582305048012,7.92612246613134,8.09605626729518,7.75119953172999,7.60214192687632,5.60343069600943
"O00629",7.58949586360409,7.39433050076913,7.3368848569589,7.32233334059363,6.37260343823315,6.83447903154491,6.42458023673422,6.99555000256652,6.78761746975947,6.43176893989614,7.32671012097412,7.76554351491847,7.36825655809471,7.13321857408245,6.86812284263105,6.93768491436444,6.84772423296467,7.2584447477659,7.22917278640501,6.53709367338897,7.1258083829017,7.40934588802505
"O00764",7.78894109361144,7.82101494732714,7.82832658193113,7.90665343955217,7.69934842951425,7.68852720844091,7.73875148743735,8.0654713416527,7.66028309383513,7.62021761230125,7.46641242026752,7.54328640753728,6.85460595908289,7.91590389536444,7.94790706206862,8.01855749552357,7.67983129254916,7.69672006054916,7.83076095470322,7.62309331167645,7.70274539849144,7.42660077112652
"O14558",6.87483729176379,6.10243334196615,8.01192131236891,7.98434703052971,8.4410786350085,8.10813685567799,6.52097510359178,8.0596805595496,7.94397113357334,6.87911076936296,6.79259989485923,6.48907812128815,6.22021039995773,8.04754073817763,8.17228401670435,7.88264946779812,7.56131432950992,7.75721326069941,8.01065815717157,8.36405052352012,8.0811634493086,5.70682626079448
"O14579",8.37351555928995,8.35083963764862,8.34887127621633,7.93000261752848,7.9517833681553,7.73244165784939,6.59629233948025,7.91226154321606,7.91662788911233,7.69243555109942,7.87421650568537,8.19228217470791,8.11130579044831,8.32123311865783,8.25343764658324,8.0780747184716,5.74007633392418,7.36272243077079,8.01639923314827,8.07796587115537,7.81835456198855,7.91854312749636
"O14737",8.03012044105516,7.96753669635491,8.01014331102261,7.95946713693832,7.47132197307983,7.43364306982589,7.17674901243483,7.18176981336623,7.62870829347021,7.37417485534459,7.60836481568596,7.95566707191559,7.91088554859981,7.79607017802886,7.85711037856991,7.4800889138306,4.53531123067191,7.45339967699545,7.58779486660922,7.77705128512346,7.5831440827634,7.40732156774478
"O14818",8.03976712038623,8.27091224013825,8.14200443066057,8.15864834997637,8.21515900650703,7.92543720008916,7.16049702744922,8.17516998909662,7.80530947675141,8.05623713605133,8.09086795320651,8.13888220212408,8.17169406729446,7.92284410266243,8.23498753671618,8.08416985912726,7.15057455802774,8.03737994745371,8.12355188069099,8.04547632026205,8.03831587416146,8.31251780757094
"O14907",7.40843932547816,7.35052226713411,7.50082198437019,7.53907979986187,7.17094795132179,6.92285088139921,5.28435417014832,7.08616022960514,7.37757914575984,7.14416629441702,7.31822525092274,7.34594828829944,7.49154231001038,7.49149490959667,5.95714079692747,6.72019236463635,6.31729098070248,7.31765182647923,7.48684608627749,7.49825618748934,6.54981240849669,6.84094968952774
"O14974",7.53333541949928,7.50675742907588,7.54689495050312,7.46596027861013,7.24086130425681,7.4460664837508,6.62905006710896,6.80311886684279,7.20184036072171,6.18651894243184,6.37702218361504,7.52781473263075,7.43659260732253,7.34264900984839,7.35259770885502,6.87290988250427,6.81872619335465,7.50201814630253,7.39531848515838,7.42742057662953,7.29746885060275,6.78855737069206
"O14979",7.75703893056419,7.81448762856133,7.80134526842865,7.58280457239818,7.46565074279965,6.83904705779893,7.29710093342929,6.55668128111657,6.79115552471385,6.89550249128423,7.15422591767564,7.54496872354449,7.53933740498489,7.80193913676097,7.76811639979415,6.57941193521238,6.88426299879656,7.41707637684784,6.81747425744244,7.30075120624565,7.30908493263772,6.73573273353495
"O14980",8.3773600683515,8.28961314831669,8.14868972101419,7.68896147151259,7.59755905379122,7.40463932011027,5.50568135854068,6.8615678409875,6.40707124087597,6.59388086145226,7.35613076558697,8.19029643095168,7.95899100772754,7.63787988779189,8.21764350691751,7.25523015353819,6.07515990686865,7.13811103650297,7.41450051499216,6.73988750649276,7.29006679028779,6.74761270216565
