"","Protein","day1_04","day1_07","day1_09","day1_11","day1_14","day1_21","short.term.prod","long.term.prod","short.term.prod.rank","long.term.prod.rank","method"
"97","Q13126",120,221,416,670,760,755,11032320,384446000,160,749,"KNN"
"98","Q9Y6M1",121,275,699,339,289,58,23259225,5682318,215,161,"KNN"
"99","P55010",122,180,402,207,149,415,8827920,12799845,142,222,"KNN"
"100","Q9H488",124,244,649,318,668,683,19636144,145085592,201,544,"KNN"
"101","P00568",125,210,59,192,235,47,1548750,2120640,67,105,"KNN"
"102","Q96I24",126,176,355,74,202,219,7872480,3273612,135,125,"KNN"
"103","P18669",127,57,122,243,371,486,883158,43814358,55,332,"KNN"
"104","Q14195",128,95,336,76,65,72,4085760,355680,105,49,"KNN"
"105","P68363",130,202,546,401,535,465,14337960,99758775,179,467,"KNN"
"106","P06576",131,142,620,511,391,168,11533240,33566568,162,305,"KNN"
"107","Q9UMS6",133,79,277,111,134,26,2910439,386724,95,51,"KNN"
"108","P07858",134,89,117,144,135,133,1395342,2585520,63,115,"KNN"
"109","Q99798",135,78,625,193,400,467,6581250,36052400,127,316,"KNN"
"110","Q13404",136,138,512,405,314,291,9609216,37006470,147,317,"KNN"
"111","O15144",137,384,1092,970,942,877,57447936,801349980,309,903,"KNN"
"112","P47914",138,551,411,310,272,286,31251618,24115520,247,270,"KNN"
"113","P51148",139,175,585,650,273,800,14230125,141960000,178,541,"KNN"
"114","P19367",140,87,211,186,263,228,2569980,11153304,89,204,"KNN"
"115","P60842",142,136,307,357,14,154,5928784,769692,123,69,"KNN"
"116","Q9UMS4",144,46,338,782,907,885,2238912,627707490,80,859,"KNN"
"117","P50479",145,207,339,141,152,176,10175085,3772032,154,133,"KNN"
"118","P31948",146,258,347,222,356,327,13070796,25843464,170,279,"KNN"
"119","O43399",148,324,92,54,123,125,4411584,830250,108,72,"KNN"
"120","Q06210",150,27,403,255,218,118,1632150,6559620,71,170,"KNN"
"121","Q9NR12",151,189,308,49,174,129,8790012,1099854,140,79,"KNN"
"122","Q14152",152,250,709,449,303,333,26942000,45303651,236,334,"KNN"
"123","Q13283",154,259,987,601,950,870,39367482,496726500,269,807,"KNN"
"124","Q71UI9",156,345,498,331,229,166,26802360,12582634,234,219,"KNN"
"125","O00410",158,132,958,659,112,550,19980048,40594400,202,326,"KNN"
"126","Q9GZQ8",162,281,74,172,222,231,3368628,8820504,99,190,"KNN"
"127","P08133",163,161,623,778,612,670,16349389,319011120,187,701,"KNN"
"128","P61160",164,277,803,748,237,468,36478684,82965168,259,430,"KNN"
"129","P49756",166,442,153,16,21,171,11225916,57456,161,25,"KNN"
"130","Q9NRX4",167,191,306,299,239,59,9760482,4216199,151,140,"KNN"
"131","P61353",168,262,1142,972,781,438,50266272,332499816,290,710,"KNN"
"132","P14625",171,143,102,151,198,265,2494206,7922970,86,184,"KNN"
"133","Q99497",173,236,295,93,120,100,12044260,1116000,164,80,"KNN"
"134","P61981",174,233,329,108,46,23,13338318,114264,174,32,"KNN"
"135","Q9BUJ2",175,245,81,497,439,474,3472875,103418742,101,478,"KNN"
"136","P47895",176,507,761,427,445,536,67905552,101848040,326,473,"KNN"
"137","P52907",179,344,603,774,768,620,37130328,368547840,260,736,"KNN"
"138","Q9UBR2",180,413,46,36,91,65,3419640,212940,100,40,"KNN"
"139","O00159",181,73,691,624,685,726,9130183,310321440,144,697,"KNN"
"140","P37837",182,287,330,121,68,39,17237220,320892,192,46,"KNN"
"141","P54578",183,367,1067,867,954,883,71660787,730345194,338,886,"KNN"
"142","P07437",184,338,1023,836,347,447,63622416,129671124,318,523,"KNN"
"143","P62263",186,341,1112,523,57,186,70529712,5544846,333,159,"KNN"
"144","P19105",187,454,451,558,101,217,38288998,12229686,265,214,"KNN"
"145","Q6DKJ4",189,278,95,204,159,62,4991490,2011032,115,101,"KNN"
"146","P42025",190,110,594,617,513,589,12414600,186430869,165,595,"KNN"
"147","P09211",191,377,733,581,433,593,52781131,149182789,294,549,"KNN"
"148","P26038",192,182,735,666,647,663,25683840,285688026,228,684,"KNN"
"149","P47756",193,216,344,282,62,141,14340672,2465244,180,113,"KNN"
"150","Q01995",194,183,43,9,2,19,1526586,342,65,1,"KNN"
"151","P62820",196,141,332,296,223,107,9175152,7062856,145,173,"KNN"
"152","P22695",197,375,4,471,96,902,295500,40784832,29,328,"KNN"
"153","O14579",198,350,659,437,630,827,45668700,227681370,284,633,"KNN"
"154","Q9HB07",200,577,337,138,158,262,38889800,5712648,267,162,"KNN"
"155","O43617",201,361,139,359,253,208,10085979,18892016,153,257,"KNN"
"156","P51911",202,70,397,226,80,79,5613580,1428320,119,90,"KNN"
"157","P47755",204,77,405,347,258,161,6361740,14413686,124,233,"KNN"
"158","Q15369",206,455,785,630,728,805,73578050,369205200,341,737,"KNN"
"159","Q15717",207,550,501,145,330,294,57038850,14067900,308,229,"KNN"
"160","Q92688",209,486,23,180,166,359,2336202,10726920,83,201,"KNN"
"161","Q15417",210,192,433,150,108,149,17458560,2413800,194,112,"KNN"
"162","P55072",211,205,873,665,758,730,37761615,367971100,263,734,"KNN"
"163","Q13263",212,103,7,374,368,37,152852,5092384,24,153,"KNN"
"164","P32322",213,609,645,270,216,596,83667465,34758720,355,310,"KNN"
"165","O75521",214,253,417,644,495,549,22577214,175010220,213,583,"KNN"
"166","P13693",215,267,259,65,73,127,14867895,602615,182,60,"KNN"
"167","P54920",217,564,202,633,817,859,24722376,444241299,222,777,"KNN"
"168","Q15149",218,349,209,810,672,658,15901138,358162560,184,727,"KNN"
"169","P22102",219,307,124,83,265,340,8336892,7478300,137,177,"KNN"
"170","Q9UQ35",220,320,534,202,275,266,37593600,14776300,261,235,"KNN"
"171","Q7L2H7",221,311,233,219,186,271,16014323,11038914,186,203,"KNN"
"172","P61086",222,334,629,124,511,356,46639092,22557584,285,267,"KNN"
"173","P34932",223,273,52,668,713,684,3165708,325778256,98,707,"KNN"
"174","P60866",225,488,358,197,324,160,39308400,10212480,268,197,"KNN"
"175","O60763",226,225,328,493,454,372,16678800,83261784,189,432,"KNN"
"176","Q96KR1",227,494,353,136,136,844,39584714,15610624,270,243,"KNN"
"177","P52926",228,50,147,245,611,662,1675800,99098090,72,465,"KNN"
"178","O95793",229,256,528,647,616,213,30953472,84891576,246,438,"KNN"
"179","Q8WUH6",230,167,145,179,631,457,5569450,51617693,118,348,"KNN"
"180","P62906",231,654,882,258,93,64,133247268,1535616,426,92,"KNN"
"181","P15170",232,298,432,440,722,472,29866752,149944960,241,550,"KNN"
"182","O95182",233,673,352,134,133,193,55196768,3439646,302,128,"KNN"
"183","Q9Y520",234,337,111,85,177,622,8753238,9357990,139,193,"KNN"
"184","P26640",235,325,592,421,60,459,45214000,11594340,283,208,"KNN"
"185","O43294",236,105,48,353,335,249,1189440,29445495,60,292,"KNN"
"186","P30041",237,249,949,715,601,779,56003337,334747985,304,711,"KNN"
"187","P30520",239,314,725,611,824,938,54408350,472249232,298,795,"KNN"
"188","Q16881",240,333,621,794,604,481,49630320,230676056,289,636,"KNN"
"189","P62304",241,295,137,380,389,519,9740015,76718580,149,420,"KNN"
"190","Q9NQC3",242,111,775,366,327,479,20818050,57327678,206,366,"KNN"
"191","Q9Y285",244,280,284,213,173,122,19402880,4495578,200,144,"KNN"
"192","P62753",245,366,379,429,506,431,33984930,93558894,253,456,"KNN"
"193","Q13045",246,688,827,424,594,527,139968096,132728112,435,526,"KNN"
"194","Q92616",247,292,505,541,287,512,36422620,79496704,258,425,"KNN"
"195","Q12905",248,663,705,673,903,871,115918920,529323249,407,820,"KNN"
"196","Q02809",250,321,199,880,920,930,15969750,752928000,185,888,"KNN"
"197","Q9NR31",251,261,372,714,856,944,24370092,576957696,221,839,"KNN"
"198","Q99879",252,230,41,30,19,341,2376360,194370,84,37,"KNN"
"199","Q9UNM6",254,412,422,413,415,595,44161456,101980025,280,474,"KNN"
"200","O00299",255,460,981,882,928,830,115071300,679351680,405,871,"KNN"
"201","P46937",256,552,636,352,680,806,89874432,192924160,363,606,"KNN"
"202","O75531",258,308,452,240,193,275,35917728,12738000,257,221,"KNN"
"203","P34955",263,293,165,280,879,355,12714735,87372600,168,444,"KNN"
"204","P62328",265,168,57,15,58,36,2537640,31320,87,13,"KNN"
"205","Q12906",267,348,79,430,407,424,7340364,74204240,131,414,"KNN"
"206","P11142",268,378,549,324,473,490,55615896,75093480,303,417,"KNN"
"207","Q7L1Q6",269,335,903,435,721,545,81373845,170931075,353,576,"KNN"
"208","Q01813",270,419,519,786,425,398,58714470,132951900,310,528,"KNN"
"209","Q8WWM7",271,296,16,81,430,326,1283456,11354580,62,207,"KNN"
"210","O43852",272,240,104,113,316,300,6789120,10712400,128,200,"KNN"
"211","Q13885",273,720,1045,803,419,253,205405200,85123621,499,439,"KNN"
"212","P35637",274,586,926,731,659,563,148682264,271213427,447,670,"KNN"
"213","Q00610",275,336,777,821,844,873,71794800,604922652,339,847,"KNN"
"214","Q9H3P7",276,510,569,452,401,323,80092440,58544396,352,369,"KNN"
"215","Q15293",278,397,678,725,847,731,74828148,448888825,343,783,"KNN"
"216","Q01082",279,557,194,841,744,717,30148182,448629768,242,782,"KNN"
"217","P10809",280,146,588,549,674,201,24037440,74375226,219,415,"KNN"
"218","Q16543",281,535,221,315,472,493,33224035,73299240,250,410,"KNN"
"219","Q14697",282,263,900,964,915,652,66749400,575103120,323,836,"KNN"
"220","Q9Y4L1",283,291,160,451,465,469,13176480,98356335,171,463,"KNN"
"221","P62244",284,242,622,117,188,324,42748816,7126704,276,174,"KNN"
"222","Q99426",285,459,91,84,257,95,11904165,2050860,163,103,"KNN"
"223","P54727",286,493,237,199,114,80,33416526,1814880,252,97,"KNN"
"224","O14979",288,398,682,479,206,273,78173568,26938002,349,287,"KNN"
"225","Q92734",290,614,646,279,803,711,115026760,159290307,404,561,"KNN"
"226","P15531",292,579,794,416,374,543,134239992,84482112,428,435,"KNN"
"227","Q14203",296,513,790,233,259,452,119959920,27276844,411,288,"KNN"
"228","P05976",297,331,58,13,35,22,5701806,10010,120,8,"KNN"
"229","Q9P2J5",298,545,1141,1010,960,941,185309810,912393600,480,913,"KNN"
"230","P61923",299,238,281,672,901,110,19996522,66601920,203,388,"KNN"
"231","P49023",300,604,230,21,40,49,41676000,41160,273,21,"KNN"
"232","P18085",301,135,879,472,673,875,35718165,277949000,256,676,"KNN"
"233","P22626",303,512,844,378,344,533,130934784,69307056,424,399,"KNN"
"234","P55084",304,739,863,220,429,331,193878128,31239780,490,298,"KNN"
"235","Q16222",305,370,500,609,708,785,56425000,338470020,306,714,"KNN"
"236","O75874",306,227,746,590,75,172,51818652,7611000,293,179,"KNN"
"237","P20073",309,562,315,330,334,147,54702270,16202340,300,246,"KNN"
"238","P08123",310,223,188,91,100,87,12996440,791700,169,71,"KNN"
"239","P62333",311,28,474,932,313,648,4127592,189031968,106,600,"KNN"
"240","P25787",312,194,96,394,947,661,5810688,246630998,122,659,"KNN"
"241","P16989",315,532,18,22,44,96,3016440,92928,96,30,"KNN"
"242","Q9Y2W1",316,7,8,779,809,608,17696,383168288,5,748,"KNN"
"243","Q15459",318,247,20,126,53,55,1570920,367290,69,50,"KNN"
"244","P00761",319,390,201,253,297,178,25006410,13375098,224,226,"KNN"
"245","P50579",320,115,1,835,687,788,36800,452032260,11,784,"KNN"
"246","Q14011",321,285,191,44,77,2,17473635,6776,195,5,"KNN"
"247","O15511",323,407,1028,349,428,402,135141908,60047544,430,375,"KNN"
"248","Q9UHB6",324,399,634,642,488,216,81960984,67671936,354,393,"KNN"
"249","Q99471",325,480,680,684,828,619,106080000,350571888,389,722,"KNN"
"250","P63261",326,428,251,187,27,184,35021528,929016,254,74,"KNN"
"251","P06730",327,655,990,396,321,939,212043150,119361924,505,506,"KNN"
"252","P09972",328,820,1065,66,140,101,286442400,933240,572,75,"KNN"
"253","Q86VP6",331,489,465,303,155,526,75264435,24703590,345,274,"KNN"
"254","P78417",332,379,185,527,483,528,23278180,134397648,216,531,"KNN"
"255","P51991",334,436,755,420,221,128,109946120,11880960,394,211,"KNN"
"256","Q8IVF2",336,788,1041,728,494,776,275623488,279074432,563,678,"KNN"
"257","P49368",337,432,968,949,872,882,140925312,729879696,436,885,"KNN"
"258","O75083",340,684,876,614,649,599,203722560,238693114,497,645,"KNN"
"259","P61221",341,441,690,708,661,432,103762890,202170816,385,613,"KNN"
"260","Q00688",342,415,375,97,236,98,53223750,2243416,295,109,"KNN"
"261","P18564",343,326,681,381,447,575,76148058,97926525,347,462,"KNN"
"262","P23526",344,500,524,651,435,427,90128000,120919995,364,510,"KNN"
"263","Q9Y265",347,538,516,751,95,451,96329976,32176595,373,301,"KNN"
"264","P55209",348,235,33,241,277,509,2698740,33979313,93,306,"KNN"
"265","Q9HBL0",349,440,249,32,196,302,38236440,1894144,264,100,"KNN"
"266","P09382",350,49,34,56,187,293,583100,3068296,46,122,"KNN"
"267","P25398",353,411,198,281,403,475,28726434,53790425,239,355,"KNN"
"268","P05556",355,319,192,10,89,68,21743040,60520,210,26,"KNN"
"269","P54577",356,329,558,346,47,267,65355192,4341954,320,142,"KNN"
"270","P09651",358,166,164,316,290,435,9746192,39863400,150,323,"KNN"
"271","Q99729",359,98,859,894,943,860,30221338,725016120,243,884,"KNN"
"272","O75533",360,843,107,736,645,229,32472360,108710880,249,490,"KNN"
"273","Q9UQ80",362,874,586,390,638,616,185403368,153273120,481,556,"KNN"
"274","Q7Z4V5",364,396,864,156,179,120,124540416,3350880,418,127,"KNN"
"275","P04075",365,740,688,139,116,109,185828800,1757516,482,96,"KNN"
"276","O00764",366,198,371,404,341,495,26885628,68193180,235,397,"KNN"
"277","Q15029",367,129,816,265,625,605,38631888,100203125,266,469,"KNN"
"278","P84098",368,274,556,489,639,441,56062592,137799711,305,536,"KNN"
"279","Q9H299",369,908,914,532,406,363,306237528,78405096,583,424,"KNN"
"280","Q08209",370,854,157,845,598,600,49608860,303186000,288,692,"KNN"
"281","O00154",371,702,1019,469,464,297,265390398,64631952,552,382,"KNN"
"282","Q99733",372,219,205,147,735,832,16700940,89893440,190,447,"KNN"
"283","P07108",374,796,955,575,637,659,284307320,241375225,570,650,"KNN"
"284","P07737",375,691,891,216,99,126,230880375,2694384,518,117,"KNN"
"285","P17844",376,254,285,188,876,700,27218640,115281600,238,500,"KNN"
"286","P21281",377,692,425,533,536,17,110875700,4856696,398,148,"KNN"
"287","Q8NBJ7",379,676,297,351,217,350,76092588,26658450,346,284,"KNN"
"288","O43865",382,756,762,573,497,646,220059504,183968526,511,590,"KNN"
"289","Q9UKY7",383,162,77,38,141,113,4777542,605454,110,61,"KNN"
"290","Q07065",384,112,11,3,17,10,473088,510,39,2,"KNN"
"291","O94808",385,672,366,264,87,69,94691520,1584792,371,93,"KNN"
"292","P52815",386,593,455,268,242,395,104148590,25618120,386,278,"KNN"
"293","P63313",387,447,15,372,813,50,2594835,15121800,90,239,"KNN"
"294","Q15637",389,409,446,323,209,578,70959046,39019046,335,321,"KNN"
"295","P50914",390,814,568,491,365,269,180317280,48208835,474,342,"KNN"
"296","P31150",392,241,235,300,250,287,22200920,21525000,212,265,"KNN"
"297","Q9H0U4",393,196,216,133,41,28,16638048,152684,188,35,"KNN"
"298","Q06830",394,603,975,987,512,666,231642450,336559104,519,713,"KNN"
"299","P28070",395,355,870,693,580,386,121995750,155148840,414,559,"KNN"
"300","P07237",396,592,184,702,477,496,43135488,166087584,277,567,"KNN"
"301","Q6IBS0",397,458,394,675,710,728,71639444,348894000,337,721,"KNN"
"302","P15311",399,351,744,761,729,696,104196456,386119224,387,751,"KNN"
"303","P84077",400,255,893,680,559,471,91086000,179036520,366,588,"KNN"
"304","Q32P28",402,448,807,652,587,301,145337472,115199924,441,498,"KNN"
"305","P23396",404,776,470,952,571,445,147346880,241898440,443,651,"KNN"
"306","P04792",405,446,924,313,610,521,166902120,99474530,462,466,"KNN"
"307","O95336",406,784,798,746,641,786,254006592,375854196,536,741,"KNN"
"308","Q14257",407,313,495,345,224,159,63058545,12287520,315,215,"KNN"
"309","Q14847",408,425,638,287,31,102,110629200,907494,396,73,"KNN"
"310","P53396",409,437,1048,703,139,579,187312184,56578143,484,361,"KNN"
"311","P24534",411,444,896,698,393,634,163505664,173915076,460,582,"KNN"
"312","Q13867",412,248,130,768,948,924,13282880,672731136,173,869,"KNN"
"313","P04216",413,357,757,363,563,525,111612837,107293725,399,487,"KNN"
"314","Q15843",414,915,615,230,195,5,232968150,224250,521,41,"KNN"
"315","O00303",416,471,841,745,438,570,164782176,185996700,461,594,"KNN"
"316","O75348",418,317,335,762,863,792,44389510,520823952,282,815,"KNN"
"317","O43707",419,571,200,395,457,508,47849800,91701620,286,451,"KNN"
"318","P39023",420,332,389,272,37,251,54242160,2526064,297,114,"KNN"
"319","Q04760",421,224,538,442,332,268,50735552,39327392,292,322,"KNN"
"320","O75396",422,310,854,398,373,285,111720280,42309390,400,330,"KNN"
"321","P13674",423,537,871,682,689,602,197848521,282878596,493,681,"KNN"
"322","P21980",424,417,445,288,238,698,78679560,47843712,350,338,"KNN"
"323","P68400",425,729,913,874,854,571,282870225,426192116,569,770,"KNN"
"324","P22087",426,897,1072,653,346,407,409634784,91956766,633,452,"KNN"
"325","O95817",428,429,520,477,573,695,95478240,189958095,372,601,"KNN"
"326","Q86V81",430,780,1024,181,331,85,343449600,5092435,599,154,"KNN"
"327","P18859",432,174,933,503,396,7,70131744,1394316,331,88,"KNN"
"328","P04179",433,518,217,594,148,16,48671798,1406592,287,89,"KNN"
"329","P15880",434,270,84,626,463,820,9843120,237667160,152,644,"KNN"
"330","O94925",440,572,510,8,63,34,128356800,17136,422,11,"KNN"
"331","P63173",441,294,571,261,213,181,74032434,10062333,342,196,"KNN"
"332","P33176",443,601,323,638,679,638,85996489,276382876,359,674,"KNN"
"333","Q99829",444,433,614,526,402,565,118042728,119470380,410,507,"KNN"
"334","Q92945",445,607,565,251,305,71,152614975,5435405,450,157,"KNN"
"335","Q9Y383",446,686,418,94,126,455,127889608,5389020,421,156,"KNN"
"336","Q9NZN4",447,886,1146,375,343,312,453864132,40131000,665,325,"KNN"
"337","Q04446",448,61,563,848,759,761,15385664,489803952,183,806,"KNN"
"338","Q9UBQ0",449,588,158,87,827,815,41713896,58638435,274,370,"KNN"
"339","P08238",450,402,550,458,493,522,99495000,117864468,375,503,"KNN"
"340","O00151",451,743,789,842,837,687,264388377,484165998,551,800,"KNN"
"341","P38159",453,303,834,400,28,70,114474006,784000,402,70,"KNN"
"342","Q08211",454,208,813,982,940,863,76773216,796618040,348,902,"KNN"
"343","O43504",455,504,930,221,421,367,213267600,34146047,507,308,"KNN"
"344","P62249",457,793,819,561,185,78,296806419,8095230,577,186,"KNN"
"345","P13639",458,612,831,713,815,703,232925976,408509785,520,758,"KNN"
"346","P07355",459,520,815,275,247,260,194524200,17660500,491,252,"KNN"
"347","P46778",462,728,514,101,118,157,172876704,1871126,467,99,"KNN"
"348","P26639",463,468,529,473,441,548,114625836,114308964,403,497,"KNN"
"349","Q9UNF0",465,36,131,249,468,692,2192940,80640144,79,428,"KNN"
"350","Q15121",466,502,630,724,363,580,147377160,152430960,444,554,"KNN"
"351","O43795",467,647,85,775,171,380,25682665,50359500,227,346,"KNN"
"352","O60568",468,632,545,662,409,377,161197920,102075766,458,475,"KNN"
"353","P07942",469,131,350,365,204,191,21503650,14221860,208,230,"KNN"
"354","P28072",470,585,726,648,686,635,199613700,282275280,494,680,"KNN"
"355","P30046",471,723,64,325,282,335,21794112,30702750,211,296,"KNN"
"356","Q14103",472,54,89,170,232,247,2268432,9741680,81,195,"KNN"
"357","P18206",473,851,587,460,515,537,236281001,127215300,527,517,"KNN"
"358","P62081",475,125,437,146,569,588,25946875,48847512,229,343,"KNN"
"359","O75347",477,849,1014,474,458,446,410642622,96823032,635,461,"KNN"
"360","P20810",478,556,637,341,597,504,169294216,102602808,464,476,"KNN"
"361","P62942",480,883,554,484,470,458,234807360,104185840,525,480,"KNN"
"362","Q9NYL9",482,481,686,571,567,478,159043612,154755846,457,558,"KNN"
"363","Q96A49",484,619,229,48,54,813,68607484,2107296,328,104,"KNN"
"364","P22392",485,372,632,335,43,433,114025440,6237365,401,167,"KNN"
"365","Q93052",487,633,667,262,199,289,205616757,15067882,501,238,"KNN"
"366","O76003",488,580,322,496,350,845,91138880,146692000,367,548,"KNN"
"367","P54886",489,839,1042,481,716,336,427502382,115717056,647,501,"KNN"
