"","Protein","KNN_long.term.prod.rank","KNN_short.term.prod.rank","MinProb_long.term.prod.rank","MinProb_short.term.prod.rank","short.term.prod","long.term.prod","short.term.prod.rank","long.term.prod.rank"
"337","P34955",444,168,401,325,54600,178044,228,422
"338","P35080",224,622,212,200,124400,47488,355,210
"339","P35221",164,606,196,640,387840,32144,653,171
"340","P35222",65,671,184,97,65087,11960,254,104
"341","P35232",564,827,714,863,713701,402696,860,661
"342","P35237",615,663,415,566,375258,255225,639,528
"343","P35241",605,892,435,554,494168,263175,729,534
"344","P35268",283,514,117,154,79156,33111,285,174
"345","P35579",271,535,273,530,283550,73983,558,274
"346","P35580",616,476,641,500,238000,394856,502,654
"347","P35606",775,684,797,676,462384,617675,708,817
"348","P35613",194,785,539,901,707285,104566,857,313
"349","P35637",670,447,422,475,212325,282740,473,555
"350","P35754",793,738,736,900,664200,583648,837,796
"351","P35998",627,141,426,151,21291,267102,143,537
"352","P36405",834,786,285,828,650808,237690,828,507
"353","P36578",514,689,535,682,469898,274990,713,546
"354","P36871",796,873,738,895,781335,587448,897,797
"355","P36957",187,636,582,737,468732,108834,711,323
"356","P37108",786,700,299,723,506100,235014,740,500
"357","P37802",530,138,524,118,16284,277720,120,550
"358","P37837",46,192,5,196,37632,230,196,12
"359","P38117",709,695,848,867,602565,601232,809,808
"360","P38159",70,402,104,416,167232,7280,414,81
"361","P38606",248,580,625,604,350320,155000,617,388
"362","P38646",472,324,502,339,109836,236944,333,505
"363","P38919",772,419,538,568,237992,415336,501,672
"364","P39019",392,704,182,738,519552,71344,750,263
"365","P39023",114,297,126,328,97416,14364,318,119
"366","P40121",129,41,289,375,15375,37281,116,185
"367","P40123",838,513,145,509,261117,121510,528,348
"368","P40222",143,340,340,401,136340,48620,370,213
"369","P40227",855,879,871,854,750666,744705,885,873
"370","P40261",492,802,638,879,704958,313896,856,592
"371","P40429",347,593,174,814,482702,60378,721,241
"372","P40616",779,374,606,496,185504,472074,438,725
"373","P40763",250,724,350,866,626984,87500,821,288
"374","P40925",291,678,686,298,202044,199626,459,452
"375","P40926",130,736,141,702,516672,18330,747,132
"376","P40939",360,6,438,21,126,157680,6.5,394
"377","P41091",327,556,442,587,326372,144534,597,377
"378","P41250",761,442,803,479,211718,611083,470,813
"379","P42025",595,165,672,317,52305,399840,225,659
"380","P42224",126,826,198,892,736792,24948,876,152
"381","P42766",552,672,457,631,424032,252264,680,520
"382","P43034",812,888,476,605,537240,386512,764,648
"383","P43243",508,166,489,125,20750,248412,141,519
"384","P43487",297,858,99,870,746460,29403,882,163
"385","P43686",379,766,480,776,594416,181920,802,426
"386","P45974",856,512,624,575,294400,534144,572,759
"387","P46379",107,48,391,126,6048,41837,68,195
"388","P46459",512,220,704,261,57420,360448,238,631
"389","P46776",696,668,755,692,462256,525480,707,755
"390","P46777",95,31,102,52,1612,9690,35,98
"391","P46778",99,467,20,502,234434,1980,496,40
"392","P46781",706,376,772,366,137616,545032,373,770
"393","P46782",565,538,655,594,319572,370075,590,636
"394","P46783",344,487,465,562,273694,159960,545,399
"395","P46821",168,409,157,409,167281,26376,415,157
"396","P46937",606,363,590,424,153912,357540,398,627
"397","P46940",889,740,894,708,523920,794766,757,900
"398","P47755",233,124,114,329,40796,26562,205,159
"399","P47756",113,180,144,191,34380,16272,183,125
"400","P47813",264,230,715,667,153410,188760,397,437
"401","P47895",473,326,390,247,80522,184470,287,430
"402","P47897",429,739,441,490,362110,189189,628,438
"403","P47914",270,247,41,6,1482,11070,34,101
"404","P48047",883,896,876,888,795648,773508,902,892
"405","P48147",353,631,827,785,495335,291931,730,564
"406","P48444",677,839,800,894,750066,541600,884,765
"407","P48556",147,116,531,176,20416,78057,139,280
"408","P48643",803,771,816,765,589815,655248,798,834
"409","P49023",21,273,18,342,93366,378,311,18
"410","P49327",373,719,404,697,501143,150692,736,383
"411","P49368",885,436,891,420,183120,788535,435,897
"412","P49411",149,604,186,445,268780,27714,537,161
"413","P49458",769,797,244,314,250258,187636,516,436
"414","P49588",293,383,471,512,196096,138003,451,365
"415","P49591",442,121,855,525,63525,377910,251,641
"416","P49720",825,812,873,508,412496,720225,677,867
"417","P49748",58,806,185,233,187798,10730,442,100
"418","P49756",25,161,69,163,26243,1725,158,38
"419","P50395",872,549,884,517,283833,770848,559,889
"420","P50454",450,159,460,139,22101,207000,146,466
"421","P50479",133,154,90,184,28336,11970,167,105
"422","P50502",832,756,854,757,572292,710528,790,863
"423","P50552",494,475,499,544,258400,246506,525,518
"424","P50579",784,11,310,76,836,243040,26,512
"425","P50914",342,474,64,4,1896,21888,36,143
"426","P50990",766,660,779,653,430980,596714,689,804
"427","P50991",875,889,881,372,330708,770875,600,890
"428","P50995",662,314,577,398,124972,381974,356,645
"429","P51148",541,178,200,37,6586,108200,73,320
"430","P51659",788,840,833,853,716520,656404,861,835
"431","P51665",555,846,511,909,769014,283605,891,559
"432","P51858",339,557,627,678,377646,212553,644,473
"433","P51911",90,119,28,32,3808,2520,54,45
"434","P51991",211,394,236,370,145780,49796,384,216
"435","P52209",625,316,806,447,141252,503750,377,742
"436","P52272",427,129,246,133,17157,105042,122,314
"437","P52306",537,262,201,128,33536,107937,180,319
"438","P52565",236,732,237,751,549732,55932,774,233
"439","P52597",652,820,712,823,674860,464224,844,716
"440","P52815",278,386,436,335,129310,121208,361,346
"441","P52907",736,260,771,250,65000,567456,253,780
"442","P52926",465,72,683,142,10224,317595,95,596
"443","P52943",158,662,251,106,70172,39658,264,191
"444","P53396",361,484,392,463,224092,141512,481,371
"445","P53618",237,88,260,72,6336,61620,71,244
"446","P53621",42,574,47,543,311682,1974,584,39
"447","P53992",547,534,286,511,272874,156442,541,392
"448","P53999",724,553,763,680,376040,552412,641,772
"449","P54136",350,597,356,630,376110,124600,642,350
"450","P54577",142,320,481,469,150080,68302,388,255
"451","P54578",886,338,904,425,143650,800944,380,901
"452","P54687",703,470,601,264,124080,422503,354,681
"453","P54727",97,252,123,302,76104,11931,277,103
"454","P54819",635,438,810,868,380184,514350,648,750
"455","P54886",501,647,403,29,18763,201903,131,455
"456","P54920",777,222,612,323,71706,475524,269,729
"457","P55010",222,142,383,110,15620,85026,118,286
"458","P55036",433,437,341,771,336927,147653,605,379
"459","P55060",491,26,478,50,1300,234698,33,499
"460","P55072",734,263,737,209,54967,540958,229,764
"461","P55084",298,490,656,616,301840,195488,578,444
"462","P55145",591,796,509,99,78804,300819,283,576
"463","P55209",306,93,331,74,6882,101286,74,309
"464","P55735",626,393,690,696,273528,431940,544,691
"465","P55769",185,319,281,718,229042,51985,487,222
"466","P55786",785,301,888,439,132139,697080,365,856
"467","P55884",314,449,534,547,245603,167676,511,412
"468","P56192",14,53,39,70,3710,546,53,21
"469","P56537",245,783,151,435,340605,36995,609,183
"470","P58546",894,478,622,746,356588,556068,624,776
"471","P59998",854,542,879,523,283466,750666,557,877
"472","P60174",431,588,453,560,329280,195243,598,443
"473","P60228",367,76,33,45,3420,12111,51,106
"474","P60660",860,848,863,855,725040,742180,870,872
"475","P60842",69,123,61,102,12546,4209,104,61
"476","P60866",197,268,229,303,81204,45113,289,203
"477","P60900",646,369,728,459,169371,470288,419,722
"478","P60903",67,18,6,7,126,402,6.5,19
"479","P60953",901,788,820,743,585484,738820,794,871
"480","P60981",349,446,176,659,293914,61424,570,243
"481","P61019",771,828,411,797,659916,316881,835,595
"482","P61086",267,285,346,297,84645,92382,296,298
"483","P61088",175,682,338,193,131626,59150,364,239
"484","P61106",337,694,702,201,139494,236574,375,502
"485","P61158",242,172,252,164,28208,60984,166,242
"486","P61160",430,259,469,239,61901,201670,247,454
"487","P61163",817,638,845,703,448514,690365,699,850
"488","P61221",613,385,516,711,273735,316308,546,594
"489","P61247",486,712,522,730,519760,253692,751,524
"490","P61289",864,836,822,810,677160,710208,845,862
"491","P61313",419,895,515,899,804605,215785,906,475
"492","P61353",710,290,261,338,98020,185310,321,431
"493","P61513",620,813,708,826,671538,438960,842,695
"494","P61604",638,697,673,663,462111,429374,706,688
"495","P61923",388,203,479,220,44660,185852,211,432
"496","P61960",365,754,851,784,591136,310615,799,586
"497","P61970",802,667,143,482,321494,114686,592,335
"498","P61978",799,744,801,705,524520,639999,759,828
"499","P61981",32,174,44,205,35670,1408,190,33
"500","P62081",343,229,405,222,50838,138915,222,366
"501","P62136",739,905,495,905,819025,365805,908,634
"502","P62158",137,472,130,493,232696,17810,495,130
"503","P62191",258,204,378,244,49776,97524,219,302
"504","P62195",389,70,562,71,4970,218618,63,481
"505","P62241",577,468,620,434,203112,357740,463,628
"506","P62244",174,276,209,300,82800,36366,292,180
"507","P62249",186,577,228,559,322543,42408,595,196
"508","P62258",259,325,275,343,111475,71225,337,262
"509","P62263",159,333,497,180,59940,79023,243,281
"510","P62269",165,214,288,253,54142,47520,227,211
"511","P62277",848,723,867,714,516222,735216,746,870
"512","P62304",420,149,259,414,61686,108780,246,322
"513","P62314",801,901,856,903,813603,685656,907,846
"514","P62316",231,102,234,217,22134,54054,147,227
"515","P62318",794,863,834,638,550594,662196,775,842
"516","P62328",13,87,9,90,7830,117,80,7
"517","P62333",600,106,532,129,13674,319200,110,598
"518","P62424",134,650,280,418,271700,37520,540,186
"519","P62701",647,793,360,808,640744,232920,825,497
"520","P62736",253,653,183,66,43098,46299,210,206
"521","P62750",908,908,844,862,782696,766352,898,885
"522","P62753",456,253,362,270,68310,165072,260,409
"523","P62805",406,50,431,54,2700,174986,47,419
"524","P62820",173,145,632,891,129195,109336,359,326
"525","P62826",893,523,741,532,278236,661713,552,839
"526","P62829",110,54,217,46,2484,23870,44,148
"527","P62841",827,477,751,835,398295,621077,666,819
"528","P62847",254,74,175,81,5994,44450,67,200
"529","P62851",569,746,376,764,569944,213944,787,474
"530","P62854",7,7,128,19,133,896,8,26
"531","P62857",890,854,905,833,711382,805450,859,904
"532","P62861",340,669,37,378,252882,12580,519,108
"533","P62888",84,58,3,3,174,252,11,15
"534","P62906",92,426,703,166,70716,64676,267,248
"535","P62913",216,562,257,564,316968,55512,588,232
"536","P62917",43,495,74,541,267795,3182,534,50
"537","P62937",687,670,709,637,426790,487083,684,737
"538","P62942",480,525,546,571,299775,262080,576,532
"539","P62979",124,503,31,524,263572,3844,529,58
"540","P62995",905,787,640,761,598907,579200,804,789
"541","P63010",857,440,898,588,258720,769586,526,888
"542","P63104",767,752,766,744,559488,587522,782,798
