"","Protein","P.Value","adj.P.Val"
"83","Q06210",0.0632735993036058,0.7196419005133
"84","P05121",0.0648875249877421,0.720719380626811
"85","Q15435",0.0649887717936939,0.720719380626811
"86","O95793",0.0659079404236359,0.720719380626811
"87","P62851",0.0666432639004563,0.720719380626811
"88","P60903",0.0677888071929846,0.720719380626811
"89","Q99439",0.0679491788938413,0.720719380626811
"90","Q15233",0.068920425550215,0.722898685771144
"91","Q9NQP4",0.0699225085067001,0.725349978355218
"92","Q6DKJ4",0.0724669156342117,0.739024806961976
"93","Q8WX93",0.0728928677989004,0.739024806961976
"94","P50479",0.0735893345915527,0.739024806961976
"95","Q9UBR2",0.0758117056458422,0.748637831995612
"96","Q9Y3B8",0.0762740471597882,0.748637831995612
"97","P05787",0.0769257094317525,0.748637831995612
"98","Q14444",0.0810578429336434,0.759067360894302
"99","P07339",0.0821112070066235,0.759067360894302
"100","P20908",0.0827548205049565,0.759067360894302
"101","P51991",0.0829359738667351,0.759067360894302
"102","Q92973",0.0832500406179663,0.759067360894302
"103","Q9BT78",0.0845878140288434,0.759067360894302
"104","Q08209",0.0860329796451814,0.759067360894302
"105","Q15417",0.0865561861431374,0.759067360894302
"106","O43399",0.0880441876015357,0.759067360894302
"107","P28300",0.0896660516192649,0.759067360894302
"108","Q99460",0.0902299250947565,0.759067360894302
"109","Q92598",0.0904694877336781,0.759067360894302
"110","Q99426",0.0915804149355631,0.759067360894302
"111","Q9Y6M1",0.0944125169915628,0.759067360894302
"112","Q13011",0.0944412538873921,0.759067360894302
"113","Q14847",0.0950159579117089,0.759067360894302
"114","P62195",0.096590215333322,0.759067360894302
"115","P60228",0.0981199829030948,0.759067360894302
"116","Q96IZ0",0.098666232675781,0.759067360894302
"117","P68032",0.100230711786568,0.759067360894302
"118","P52943",0.100582530719286,0.759067360894302
"119","P54727",0.100596541494325,0.759067360894302
"120","Q99497",0.101864682180558,0.759067360894302
"121","O43242",0.102207693646052,0.759067360894302
"122","Q13404",0.103608823106528,0.759067360894302
"123","P62979",0.103942286204418,0.759067360894302
"124","P08107",0.104831116259272,0.759067360894302
"125","Q15717",0.105348507244038,0.759067360894302
"126","Q9UK76",0.105431262468894,0.759067360894302
"127","P08123",0.106786959376935,0.759067360894302
"128","P09972",0.1073842332653,0.759067360894302
"129","P49588",0.108256723140004,0.759067360894302
"130","O75367",0.10832798249569,0.759067360894302
"131","Q14152",0.108633039675921,0.759067360894302
"132","Q99729",0.109321110785187,0.759067360894302
"133","Q9NR12",0.110748733624874,0.759067360894302
"134","Q53GG5",0.110986678253715,0.759067360894302
"135","P19367",0.113197819965946,0.759067360894302
"136","Q86V81",0.113519640055833,0.759067360894302
"137","O76003",0.114800828788579,0.759067360894302
"138","Q7KZF4",0.114847631715515,0.759067360894302
"139","Q96I24",0.115201872063122,0.759067360894302
"140","Q9Y237",0.11540475251057,0.759067360894302
"141","P47756",0.116359592199394,0.759067360894302
"142","P54886",0.116885590293682,0.759067360894302
"143","p_2",0.117563374203579,0.759067360894302
"144","P25788",0.117775365211263,0.759067360894302
"145","Q15691",0.11813615375062,0.759067360894302
"146","P13667",0.118465112601165,0.759067360894302
"147","Q07021",0.119118800373174,0.759067360894302
"148","O14737",0.121014168137348,0.759067360894302
"149","p_1",0.122604459049282,0.759067360894302
"150","P04075",0.122726659241,0.759067360894302
"151","Q9UKY7",0.122760852847125,0.759067360894302
"152","P62158",0.125331584404248,0.759067360894302
"153","Q9UMX0",0.125662729952419,0.759067360894302
"154","Q9BRF8",0.12680800731931,0.759067360894302
"155","P07602",0.126929017046483,0.759067360894302
"156","Q05519",0.127165296482937,0.759067360894302
"157","P42224",0.127213078267796,0.759067360894302
"158","Q15365",0.127848234962017,0.759067360894302
"159","O43175",0.128835139783806,0.759067360894302
"160","P07686",0.128925598850301,0.759067360894302
"161","P60866",0.129969279146476,0.759067360894302
"162","P13693",0.130263678458556,0.759067360894302
"163","P10412",0.13313970212207,0.767591899537607
"164","P24752",0.133828342750158,0.767591899537607
"165","Q9UBQ0",0.134165957016637,0.767591899537607
"166","P16989",0.137928774027577,0.781906707353829
"167","P05556",0.139236541614983,0.781906707353829
"168","P04080",0.139532160649379,0.781906707353829
"169","Q96AY3",0.140325844902803,0.781906707353829
"170","Q6NZI2",0.141838101989348,0.781906707353829
"171","Q15907",0.142094010835959,0.781906707353829
"172","Q13185",0.144505292924371,0.781906707353829
"173","Q16181",0.145445651586551,0.781906707353829
"174","Q99613",0.146153404187615,0.781906707353829
"175","P13489",0.146200567854782,0.781906707353829
"176","P14866",0.146722599343392,0.781906707353829
"177","Q16531",0.148050501069984,0.781906707353829
"178","P63208",0.149317046061841,0.781906707353829
"179","P40429",0.149477421287588,0.781906707353829
"180","P61923",0.149659504770485,0.781906707353829
