"","ctr_1","ctr_2","ctr_3","ctr_4","ctr_7","mg_1","mg_2","mg_3","mg_4","mg_7"
"Q99439",8.17043350158841,8.28853428047916,8.16658072588233,7.89180816064608,8.46878748550452,7.73955689392156,7.41818293672088,7.89137527526093,8.25251244472465,8.39639740016231
"Q99459",7.14484695193305,7.18929498104531,7.1501815240268,7.08511889947524,6.84096215211368,7.18443833937558,7.29024629408767,7.14211516229705,7.17537923320561,6.94680453841672
"Q99460",8.25647784786129,8.36172987938911,8.25913059114582,7.78078574352268,7.17648188185968,7.96622719059264,7.97978746639013,7.96991933300249,8.2178430814209,7.71112026531639
"Q99471",7.80515728802892,7.87850200467833,7.93079832747848,7.67172616078204,7.61337085348451,7.62523332633452,7.65478148041527,7.85361684095625,7.84029793294043,7.38588484834529
"Q99497",8.16960597582102,8.14767094737368,8.24090290330957,7.7047764853697,7.92153272154259,7.89498802781753,7.39746919473229,7.87431228252995,8.01756977261978,7.92055702146671
"Q99536",7.85067147681087,7.83397168005862,7.77036141669962,7.59149615184185,7.55725044112334,7.86295649070383,7.69551237795447,7.70973580423465,7.9688649634909,7.86342311150239
"Q99584",7.22722454594503,7.08044556487817,7.3391980198917,7.10082561957893,6.99891113223549,7.28099000137489,6.85709499935378,6.93350530372108,7.11436703710096,6.89382391228781
"Q99613",8.25971060987671,8.29939731949393,8.30943324515669,8.02919005655053,7.7239470797041,8.23348078800987,8.1989202257544,8.18799677114793,8.11026905261063,6.76006622159882
"Q99615",7.29325031671022,7.52629121061226,7.36762338752777,6.90921686511182,7.25596812298133,6.8837677457405,7.39239472103796,7.34074828558363,7.19984226215547,7.2906065637277
"Q99622",7.37212017310526,7.26055557379385,7.31967033206809,7.40604596580914,6.95700941949362,7.29059348828265,7.36584160751212,7.41726419183513,7.35703755385365,7.13954818580465
"Q99623",8.12067209086396,8.28128234173066,8.0597670022495,7.87972548659986,7.75675563860065,8.15716529684049,8.24421562666778,8.03637914858606,8.00405074118383,7.7082263333471
