Protein,ctr_1,ctr_2,ctr_3,ctr_4,ctr_7,ctr_8,ctr_9,ctr_10,ctr_11,mg_1,mg_2,mg_3,mg_4,mg_7,mg_8,mg_9,mg_10,mg_11
P24844,7.79813661664499,7.94332127427245,7.96037122863329,7.47005103223046,8.22739596151501,8.12806717676275,8.14110195115403,8.24841719731876,7.19771324969442,7.83965772946808,7.53566172990657,7.99255046787127,8.02669526224527,8.30218633121342,8.12068209507715,8.42193114746119,8.46978714475311,8.55829876203584
P31949,8.54711191343458,8.85200712192361,8.63603309183899,8.24247276263939,8.1965359259653,8.8579003803002,8.82076414921846,8.97671649673528,8.72687324204846,7.98893666140338,8.41769983795828,8.60240340238578,8.8354564060303,8.55291823380247,8.66282731155427,8.49891651180098,8.81194433624155,8.71653993564455
P47914,7.29145979118865,8.10314646944098,8.26503600446395,7.57674039332818,7.56282644410036,7.66280349903407,7.44092257875774,7.61174473439685,8.12656978820496,8.66773431996686,8.04633406608716,7.51380053625927,7.55227429550105,7.64988140798402,7.46567420406706,7.7697653637015,8.17542785441278,6.6626574501915
P49023,7.64698894394272,7.63726384542579,7.88213462164411,7.42556237623346,7.30157948217557,7.47699640657532,6.96916616619867,7.00368209943221,7.33940575862113,7.8008764440111,7.56629764920654,7.4412584706591,7.04513498381098,7.19053949826172,6.97127614140477,7.40485874779784,7.40898731984646,7.73648336959105
P60228,8.39529529140928,8.25376960463325,8.1699518280717,7.67229306671032,6.9169529783805,6.57477047555508,6.83214409468841,7.27257099738243,7.68140888850874,8.15169920229544,7.87664751481304,7.9311417150108,8.0882971714908,7.62245746489724,7.21983218878192,7.26283919587105,7.64089211642654,7.5311158646442
P60903,8.61615232767567,8.63372559186337,8.47154328616577,7.64476511813716,7.86982491482308,8.93189875854959,8.1507485129069,7.73712034166179,7.96955488429703,7.73749614258762,7.20772658008643,7.67361821016727,8.20373813160991,8.76112241344687,8.22540399255186,8.47842570686915,7.83096600937702,8.16558210894031
P62328,8.4989323850235,8.3541117724866,8.67399376584303,8.54984455601982,8.26037084478553,7.85977189899256,7.88888683151946,7.89522098324034,8.70663092677149,8.60641704518515,8.09014184761977,8.11594516665002,8.15030892843194,8.4495755538839,7.94888778359689,8.49234354175181,8.45831866533933,9.13054244243203
P62888,8.56900449563356,8.13435615935321,7.51830534696063,7.54942495617662,7.06945734547487,7.5809640925269,7.15004935249636,7.48978682719712,7.61279058147171,7.48461950093797,7.83243047470504,7.81863213402129,8.07587166529133,7.51492660482835,7.29726486473487,7.4686790352493,7.62981889474675,7.55756863270912
P67809,8.92246196535739,8.86643674076952,9.07923053770431,8.66265146310091,8.5046101912917,7.89336367965067,7.93053622625188,8.1590106551762,8.6782055733769,9.00985688559411,8.7234807305373,8.80391823603435,8.56488864144613,8.28740050383037,8.22047304727211,8.54089477212187,8.72310588717925,8.8561463469452
P67936,8.75059956809622,8.74734033922418,8.85323871408571,8.65120440968062,8.24218288525882,7.7778516267362,8.12051952251625,8.45279458795806,8.9127043551355,8.78946693118685,8.57333481494293,8.59169964130874,8.47119773624596,8.51824096534772,8.2452155211477,8.4925560040565,8.91913284906344,8.9334876940289
P80723,8.16835814332148,7.98139730927382,8.00932875778238,7.77868746434369,7.76174415043881,6.8078275599665,7.20234680271901,7.12304766871722,8.19721135934917,8.09910010785356,7.89516449659112,7.73783716322928,7.49705155188426,7.40072267131501,7.46548307395353,7.74598808857993,8.1235591553954,8.39992131736975
Q01995,9.54736218676665,9.4742903066186,9.54957110067275,9.31069448180419,9.36266428020364,9.30769715637594,9.29253832592506,9.51540781781233,9.56963618780981,9.25547855151633,9.16218699081179,9.30711930920692,9.37440215599504,9.45921080299606,9.36141001640761,9.51074992618349,9.67922117741947,9.57202192342272
Q02790,8.37250023144376,8.20740243880983,7.89172820278897,7.82315619244236,7.30701008141129,7.10232587413656,7.01395392817981,7.17181293603548,7.0382051075379,7.90054193887036,7.95482993388635,8.15217389938706,8.29121140365633,7.4985640057387,7.06356586778279,7.1496216203677,7.14717339868135,7.37859719091523
Q07065,8.23162776883211,8.90478962607461,8.19365138059625,7.86396856906281,7.30028171154213,7.44864418515542,7.61579547268849,7.87815983235574,8.00717908020757,7.92556680994486,7.86798342079144,8.17007770464774,7.97582537377906,7.90489487110851,8.02529692758701,7.98806514552566,8.18923763447937,8.39468583878489
Q07954,7.70460308127545,7.54463614102278,7.56386473374116,7.11805652955647,6.90596993622486,7.22116501503421,7.03476091851708,7.58663275885448,7.42663004820368,7.6112556794675,7.56733873985679,7.56107377338626,7.22995153610823,6.97141069366658,6.96800997212458,7.10470156615658,6.80562652546579,6.74429075769614
Q14157,8.27438797434593,8.13878197432482,8.2306637128944,8.10898974513069,7.19175659762234,7.67043670959818,7.00184473124337,6.66095949208019,7.1690342556436,8.09631562083181,8.0203328664528,8.17084822676168,8.20125229544175,6.79913932098507,7.05574090649242,7.54831513349778,7.87452835367175,7.8756507472002
Q14203,7.9300004554398,7.70483071115215,7.69361974455789,7.57180574464138,7.64870401864716,7.3732210365563,7.23273470171943,7.45230356228684,6.91692988005309,7.64870279739268,7.80739860868262,7.77110325133138,7.49489422760316,7.00104413207303,7.28270013023242,7.26086974573907,7.27713823908507,7.59183957934889
Q15459,7.41550396813007,7.83275363109848,7.4902553076955,7.52787121094556,7.23323894036023,7.37609626812567,6.75057515287455,6.68791521681588,6.83146702885853,7.75942611388275,7.74188178581956,7.43313202506314,7.14151327639238,6.62298986786628,6.59639142242969,6.64675079799435,7.44270553888102,7.0866655920522
Q16181,8.05457338969442,8.01832820322873,7.92201102898606,7.9131230970455,7.83977502546299,7.59897304974576,7.44174366310926,7.23095395444907,6.73316301999385,8.08898977625439,8.0216550292629,8.01175698142151,7.9129619604275,7.37416893484054,7.1910716470381,7.44288691474334,7.45003324813552,7.87730331815531
Q3SX28,9.38015068481111,9.28635782389054,9.55909128889154,9.34114167008922,9.26176298953842,8.9183267937667,9.08932087317388,9.28918059040563,9.56343217322328,9.49541066883718,9.18879850951679,9.34559538661808,9.19068847453059,9.29921133341858,9.09208449017435,9.54433895004167,9.60955898884127,9.71787379434718
Q7Z417,6.55044724823479,6.50490602410993,6.76023624516911,7.03640867140844,6.82650708449642,7.71870880351438,7.37833733369003,6.82084356599713,6.97778360627566,7.26872702119563,7.16299173166305,7.1941587006021,7.7696142252029,7.50192114935139,7.00573385008437,6.90478813058197,6.7767070385765,7.31523115375971
Q7Z4V5,7.30687439671185,7.25490417499128,7.4176503218293,7.14074723871833,7.30459249648197,7.36768077464696,7.24346047212368,7.15233270660799,6.87885685868857,7.39680119659417,7.20265513271282,7.12269154075822,6.79489218364182,6.7712814186083,6.76222125181969,7.14081390971998,7.44217739092794,7.2780711203637
Q86UP2,7.93243923378053,7.98161321255567,7.5572968124759,7.46995549690756,7.34854100368925,7.67557837173813,7.09621804823728,7.57610367511978,7.24204088005816,7.84851117623085,7.76910929039698,7.81270806757879,7.54501892191235,6.95600539753435,7.06324894087482,7.30794959075228,7.38930618276281,7.94390172601936
Q92841,8.58090663119726,8.60339703836873,8.23008750909846,7.99858232523671,7.80170996280225,7.28858374810087,7.00605170085409,7.53206702576917,6.88564007939435,8.56466865088556,8.24367472318741,8.08387729133097,8.28312305869633,7.83189904341482,6.86077515207021,7.52487743393686,8.07740779782997,7.96092583872907
Q969G3,7.40607264973585,7.56576824929876,7.6646979437838,7.46756454438837,7.36638850185621,7.49305659516134,7.04383977393705,6.86656883284117,7.12870573605428,7.27426621561289,7.57167009132628,7.52489162331639,7.39537813875333,6.99221803417013,7.17753587953701,6.96742455639586,7.26993549282178,7.64058389181011
Q99613,8.35233647713049,8.39246824058438,8.40261671090664,8.11923082522396,7.81056479921891,7.47003669378795,7.22928754954973,7.68949055780764,7.25818460594684,8.32581250936519,8.29086437880341,8.27981842662964,8.20121905559999,6.83587480933794,7.35339242469705,7.46883773757817,7.85436938552686,7.90674996216675
Q99879,9.72298366477026,9.27891691575423,9.47689874482066,9.12699777839302,8.78297864179011,9.02140264466554,9.06663531443033,9.00903270276857,8.9738988388024,9.38626185401611,9.26163691292509,9.40142745432757,9.55618407991878,9.20503610080893,8.91340803210441,8.8522182838435,8.90053576503319,8.78649664599829
Q9NQP4,7.91655352643431,7.72310877100821,7.84389653361709,7.65783660097669,7.56788632087934,6.85302466989718,7.40087907527306,7.40421860465631,7.41536163942737,7.76303103546675,7.49991700288291,7.52145690899314,7.40418092901842,7.5299697259889,7.9280053303192,7.67001388258013,7.55764832409722,7.56094688973713
Q9UN86,7.25023278407188,7.35269265960419,7.47095675210414,7.40723541139935,7.07887216480011,6.72491336112688,7.07181770912007,6.5774275701465,7.5912824449565,7.8568728776316,7.54167503528121,7.42960282330972,6.78979116843351,6.69102777502205,7.08149024916732,6.97065114275773,7.65464089067282,7.89433307445219
Q9Y2D5,8.01699576783025,8.01199457396752,7.88037857578363,7.36660326485094,7.31263643752268,6.74792602251003,6.59074727262358,7.00427229556966,7.08517528597411,8.01885167755549,7.44873937780097,7.74056591378083,7.83695626016433,7.24182171062945,7.08572517999122,7.34096769692512,7.66029210265134,7.71009632641973
Q9Y5S9,7.75666892398023,7.61173445050117,7.85797146889169,7.18382361851744,7.09953151697141,7.47377973498031,6.77535207068852,6.79105374979524,7.26247882729065,7.70387785991594,7.43416379154526,7.32692057319272,6.89242343374432,6.89504473295458,7.21794758759191,7.41722439342475,7.58607311282047,7.61472142560224
