"","ctr_1","ctr_2","ctr_3","ctr_4","ctr_7","ctr_8","ctr_9","ctr_10","ctr_11","mg_1","mg_2","mg_3","mg_4","mg_7","mg_8","mg_9","mg_10","mg_11"
"P09382",9.25653719923749,9.08363605665905,9.21203428371922,9.06148407051483,8.4214434262354,8.62468632420999,8.6422424249652,8.98690436295003,8.80483804942471,9.05291895365696,8.85164532822145,9.10977817700853,9.23532416159405,8.96889149956003,8.86515220071172,8.60336030684029,8.84414935614752,8.63155362430009
"P09429",9.03619145796032,8.94478208894119,9.00977096427475,8.66568813242866,8.26174795545192,7.94792085776098,7.71792405997415,7.71541674296217,8.22954380110115,8.75037358868913,8.67129689082527,8.96694476299052,8.28936642317048,8.14736994820141,7.50545707324531,8.18202596606737,8.22390373909938,8.1766527438363
"P09486",7.8301433193646,7.70843881810611,7.81872710764789,7.89879751342605,7.84223947181361,7.15885214830468,7.79971988513173,8.09592393162946,8.06550027762897,7.87868162305182,7.7887703294154,7.77650863764552,7.79828728946912,7.73312978825972,7.73348127073561,7.98497070657343,7.76594356443639,8.41421759587488
"P09493",9.04902825622593,8.89031354167049,9.09114598642938,9.18906932604593,8.77563202806579,8.41783721604278,8.43279355256644,8.57261903688348,9.0922119644125,9.00212609025784,8.814728555752,9.04210960400046,8.92694172356614,8.74966284219564,8.306601872967,8.88739722876003,9.16748480119476,9.22920518547146
"P09496",7.74341447599305,7.77039527188513,7.80450264431412,7.90393176596187,7.63326999799768,7.19460559926082,7.3302702657029,7.73346608104454,7.51527762331882,7.53795884518699,7.61215510937024,7.63953143344967,7.77902849207027,7.46234431261739,7.364278488692,7.38158373534189,7.62583684728194,7.42278034797825
"P09622",7.42742839014712,7.61752527758305,7.5126238734272,7.53521233261663,6.72764068615075,7.48748570653859,7.43901795274064,7.70563852356196,7.19307730045141,7.25535154123574,7.53674555244691,7.54022620741996,7.46541163598116,7.47459486379109,7.25628349095085,7.10898419321535,7.43562062277568,7.35796169249168
"P09651",9.32605951644566,9.33792295870967,9.46334774814928,9.20349565473292,8.6703490469641,8.67626272741542,8.65804786990891,8.83401691092009,8.56444447508303,9.07894524151349,9.17102721824929,9.28932904478774,9.2736774924175,8.91832108287589,8.68679029859656,8.62517954158321,8.81804119701836,8.56491795560629
"P09661",7.4872596046645,7.63830580166437,7.52090313738232,7.49013625460565,7.14700631951852,7.2087902136376,7.55037976295643,6.62572152157652,7.4175739678653,7.51793304346404,7.6245235579919,7.58109600538475,7.52578732852938,7.11388434049844,7.10870233792846,6.97004481481466,6.96622082985831,7.48845024871458
"P09936",8.97512305489115,8.90965850074322,9.06443508560219,8.36031151942496,8.6825489330479,8.80798542633267,8.55781844991217,8.6447825618396,8.90059843151688,8.60282840403945,8.58995225578125,8.84577119343361,9.13379305173878,8.87006179852608,8.70051861656985,8.98753788193889,8.62919889600581,8.98888152667436
"P09960",7.82164201752956,7.77574035233629,7.81488026821441,7.19467114584478,7.56054695321721,7.66117441075148,6.89304693347657,7.61366469900399,7.18733468855149,7.54702603139553,7.8511313875261,7.93648938686578,7.76835063298052,7.69566782558285,7.19797349662033,7.604323607599,7.57892350433749,7.48451633587681
