,Regulator,Target,Weight,Sign
171,P06753,Q07866,0.0036967368983361515,
172,P06753,Q07954,0.006337163265065247,
173,P06753,Q13162,0.03579059806328891,
174,P06753,Q13263,0.046228991419301015,
175,P06753,Q14011,0.0017704736340970367,
176,P06753,Q14444,0.039645909252049076,
177,P06753,Q15233,0.07532877886145661,
178,P06753,Q15459,0.0028251639774498436,
179,P06753,Q15843,0.0355461111618084,
180,P06753,Q16629,0.012377304437364164,
181,P06753,Q7Z417,0.027933879506379506,
182,P06753,Q96HC4,0.008364281988084072,
183,P06753,Q96KR1,0.011041249043919598,
184,P06753,Q9UHD8,0.02604232675748572,
185,P06753,Q9UJZ1,0.024299928381668175,
186,P06753,Q9UMS6,0.04527352156545007,
187,P06753,Q9UNH7,0.03129267264131379,
188,P07339,O94925,0.008719406983810584,
189,P07339,P00568,0.039656958976936135,
190,P07339,P04179,0.03267269539979369,
191,P07339,P06753,0.001249512219450821,
192,P07339,P12956,0.01533779309686839,
193,P07339,P13010,0.01477744770697297,
194,P07339,P15374,0.006394756177654325,
195,P07339,P18859,0.0028010590681408847,
196,P07339,P21281,0.013358615708017788,
197,P07339,P23246,0.03472227100550248,
198,P07339,P26022,0.014193448634323107,
199,P07339,P27816,0.03780936619277196,
200,P07339,P30048,0.009955485657454964,
201,P07339,P30085,0.0036626553870079026,
202,P07339,P35222,0.013236525334840366,
203,P07339,P38606,0.103047234890487,
204,P07339,P42765,0.019584332303673065,
205,P07339,P46379,0.02370602268997918,
206,P07339,P49756,0.011591528027334916,
207,P07339,P53621,0.011096140077723521,
208,P07339,P61981,0.0029433787034538004,
209,P07339,P62328,0.002226575526791577,
210,P07339,P62854,0.01941702393743454,
211,P07339,P62906,0.008273651709613757,
212,P07339,P62913,0.008689438745489681,
213,P07339,P81644,0.03690322691677548,
214,P07339,Q01995,0.03294466076548794,
215,P07339,Q02218,0.013727624992033047,
216,P07339,Q02818,0.000523810076308499,
217,P07339,Q07065,0.06397823444533451,
218,P07339,Q07866,0.009244445455429155,
219,P07339,Q07954,0.018714358139150854,
220,P07339,Q13162,0.02106570426161882,
221,P07339,Q13263,0.0061101110504518585,
222,P07339,Q14011,0.014860231906302625,
223,P07339,Q14444,0.02273792963465712,
224,P07339,Q15233,0.004098048384178672,
225,P07339,Q15459,0.022701991288188637,
226,P07339,Q15843,0.005183906998031643,
227,P07339,Q16629,0.0002927611183246923,
228,P07339,Q7Z417,0.0034552572201890347,
229,P07339,Q96HC4,0.004512440073356594,
230,P07339,Q96KR1,0.03260068492636859,
231,P07339,Q9UHD8,0.016086500781050575,
232,P07339,Q9UJZ1,0.1722739335803504,
233,P07339,Q9UMS6,0.011536005859658392,
234,P07339,Q9UNH7,0.005198092408767138,
235,P12956,O94925,0.016527051303118094,
236,P12956,P00568,0.006778371845352817,
237,P12956,P04179,0.037981158651301916,
238,P12956,P06753,0.001966416840848541,
239,P12956,P07339,0.009950754567977817,
240,P12956,P13010,0.01864246400730863,
241,P12956,P15374,0.0033898354368574845,
242,P12956,P18859,0.0453152598697387,
243,P12956,P21281,0.004576261289743965,
244,P12956,P23246,0.03669628817891019,
245,P12956,P26022,0.033784914334878076,
246,P12956,P27816,0.0009676548255210581,
247,P12956,P30048,0.005129255325010125,
248,P12956,P30085,0.028152303137760275,
249,P12956,P35222,0.00018703301038200564,
250,P12956,P38606,0.005994932379881282,
251,P12956,P42765,0.09305556991224506,
252,P12956,P46379,0.043164188544333265,
253,P12956,P49756,0.00935412047228432,
254,P12956,P53621,0.02579810127242079,
255,P12956,P61981,0.0026227005091015794,
256,P12956,P62328,0.0029466245310766064,
257,P12956,P62854,0.0637888961049806,
258,P12956,P62906,0.023669469763362993,
259,P12956,P62913,0.056367133673207996,
260,P12956,P81644,0.0021581688367008347,
261,P12956,Q01995,0.020969217776121457,
262,P12956,Q02218,0.03385928684599464,
263,P12956,Q02818,0.037097346702902316,
264,P12956,Q07065,0.029532809979678176,
265,P12956,Q07866,0.020185565064865473,
266,P12956,Q07954,0.0025501854411428405,
267,P12956,Q13162,0.0066042378080043655,
268,P12956,Q13263,0.028058302919504095,
269,P12956,Q14011,0.0021035837381456215,
270,P12956,Q14444,0.07613546709137832,
271,P12956,Q15233,0.018879012125656874,
272,P12956,Q15459,0.011595276050643302,
273,P12956,Q15843,0.01307002249834833,
274,P12956,Q16629,0.020266411704580954,
275,P12956,Q7Z417,0.0019821812191091037,
276,P12956,Q96HC4,0.0022694857022561945,
