source,target,Weight,Sign
P56192,Q9H0U4,2.1411979780303,
P56192,Q9UJZ1,2.0002999880295933,
P61981,O15143,2.324571523836703,
P61981,P02652,2.430695555627507,
P61981,P40926,4.085593223227086,
P61981,P62917,3.2279226374678336,
P61981,Q02218,2.5907709174629856,
P61981,Q14011,2.3003463530306694,
P61981,Q15459,1.929388201481476,
P61981,Q9H0U4,2.074076030755833,
P61981,Q9UNH7,2.568238267799398,
P61981,Q9Y3D6,2.424377024506137,
P62854,O15143,2.2309591014347245,
P62854,O94925,2.3069242945406128,
P62854,P04179,2.434662922900211,
P62854,P26022,2.23078819721695,
P62854,P35222,1.8939965604458835,
P62854,P42765,1.932035150926516,
P62854,Q07866,2.381505963492333,
P62854,Q15459,2.137806564380247,
P62854,Q9UHD8,1.9935605885436067,
P62917,O15143,3.720690793826877,
P62917,P02652,2.655651818955848,
P62917,P30085,2.363515304997008,
P62917,P40926,2.9708085775895547,
P62917,P42765,2.4053378527484326,
P62917,P61981,4.016827185365967,
P62917,P62854,1.8920300048756595,
P62917,Q14011,2.895696584333088,
P62917,Q15459,3.4501801169594524,
P62917,Q96L92,2.1032911923850928,
P62917,Q9H0U4,2.361669354240425,
P62917,Q9UHD8,3.0749302398202683,
P62917,Q9Y3D6,2.129045459407598,
Q02218,O94925,2.3310625147885107,
Q02218,P04179,3.075385056051343,
Q02218,P26447,3.917680459541003,
Q02218,P40926,2.354164603617229,
Q02218,P61981,2.799410712771129,
Q02218,P62854,1.884048411067368,
Q02218,Q02818,4.847291344117023,
Q02218,Q07065,2.4589747292720947,
Q02218,Q13162,2.1092498224474725,
Q02218,Q9H0U4,3.2971665600256146,
Q02218,Q9UJZ1,2.15137561963242,
Q02218,Q9UNH7,4.849070510837255,
Q02818,O94925,2.374811855725918,
Q02818,P02652,2.1684573632450674,
Q02818,P04179,3.512410144114144,
Q02818,P21281,1.959315850186311,
Q02818,P26447,2.078270906264449,
Q02818,P38606,2.286921199341549,
Q02818,P62854,2.1877597779958435,
Q02818,Q02218,5.386905176580976,
Q02818,Q07065,3.035833032321809,
Q02818,Q14011,2.464619891563498,
Q02818,Q9H0U4,3.0788415883312164,
Q02818,Q9UNH7,4.827093562910857,
Q07065,P04179,2.865259228432606,
Q07065,P26447,3.381705002189136,
Q07065,P35222,2.775119529231482,
Q07065,P38606,2.455444327824213,
Q07065,P42765,1.9072573896648977,
Q07065,P56192,2.9778054708650523,
Q07065,Q02218,1.959149266106306,
Q07065,Q02818,2.176462230967553,
Q07065,Q9UNH7,2.822708787303894,
Q07866,O94925,3.787803370510316,
Q07866,P04179,2.498210534380651,
Q07866,P12956,2.7918618769580363,
Q07866,P26022,2.441304405686997,
Q07866,P35222,4.24804653447594,
Q07866,P42765,2.944028022943092,
Q07866,P56192,3.701108164302286,
Q07866,P62854,2.735353368248924,
Q07866,Q07954,2.3947763787302097,
Q07866,Q13162,2.9304585879340306,
Q07866,Q9H0U4,1.928444218319556,
Q07866,Q9UHD8,2.2754824790623527,
Q07954,P02652,1.895891728700388,
Q07954,P35222,1.8607097298093955,
Q07954,P38606,1.9871133336729352,
Q07954,Q13162,1.873870102903262,
Q07954,Q15843,1.940815826052372,
Q07954,Q9H0U4,2.104740027110101,
Q13162,P26447,3.5794198581585155,
Q13162,P35222,2.064250726352199,
Q13162,P40926,2.9429229984690584,
Q13162,P42765,2.891422323195636,
Q13162,Q07866,2.071054846552625,
Q13162,Q07954,2.097035722154332,
Q14011,P02652,3.665298046773153,
Q14011,P61981,1.9720696551190309,
Q14011,P62917,1.9949041949064887,
Q15459,O15143,3.0914681843007834,
Q15459,P21281,1.893250555528546,
Q15459,P26022,2.416739528760119,
Q15459,P30085,2.6616217380545457,
Q15459,P40926,3.2142746409897924,
Q15459,P61981,1.9052322903680352,
Q15459,P62854,2.127056208680259,
Q15459,P62917,2.7378525373798053,
Q15459,Q14011,2.1388891717586174,
Q15843,P02652,2.8050678959654163,
Q15843,P18859,3.345486227646786,
Q15843,P26022,1.9356764748855624,
Q15843,P36957,2.6214794529536243,
Q15843,P61981,1.922010185113342,
Q15843,Q07954,3.004629548925311,
Q15843,Q14011,1.8876635177564705,
Q15843,Q96L92,2.6553696901323853,
Q15843,Q9UJZ1,2.6439468354918434,
Q15843,Q9Y3D6,3.141227208540725,
Q96L92,O15143,2.072566531117831,
Q96L92,P18859,3.072165941993193,
Q96L92,P56192,2.18565186611618,
Q96L92,Q15843,1.95564268706614,
Q96L92,Q9H0U4,3.220879233363271,
Q96L92,Q9UJZ1,2.360798129799522,
Q96L92,Q9Y3D6,2.0579585962743328,
Q9H0U4,Q96L92,1.960090974553416,
Q9UHD8,O15143,1.9786699361228623,
Q9UHD8,P12956,1.937474996880804,
Q9UHD8,P26447,2.355201154323315,
Q9UHD8,P42765,2.610948320931721,
Q9UHD8,P62854,1.9169312625525368,
Q9UHD8,P62917,2.3581427584268613,
Q9UHD8,Q07866,1.9049730288104951,
Q9UJZ1,O94925,2.0035869960725385,
Q9UJZ1,P18859,2.0559306967500053,
Q9UJZ1,Q9Y3D6,2.169612215090891,
Q9UNH7,P04179,3.0824599282467653,
Q9UNH7,P21281,2.0487951428603908,
Q9UNH7,P26447,4.024209916076679,
Q9UNH7,P38606,2.4602554828741265,
Q9UNH7,P61981,3.1907505995989536,
Q9UNH7,P62854,2.2691083198044164,
Q9UNH7,Q02218,5.575430916741542,
Q9UNH7,Q02818,4.994194466642099,
Q9UNH7,Q07065,4.073545341393677,
Q9UNH7,Q15459,2.0075565962760185,
Q9UNH7,Q15843,2.00366788718469,
Q9UNH7,Q9H0U4,2.11554700103444,
Q9Y3D6,P02652,3.590116742294676,
Q9Y3D6,P18859,4.567260623062446,
Q9Y3D6,P26022,3.4816406061729213,
Q9Y3D6,P36957,2.9339000876557524,
Q9Y3D6,P38606,2.5071694318909525,
Q9Y3D6,P61981,2.911136585983022,
Q9Y3D6,P62917,2.0544109788826788,
Q9Y3D6,Q07954,2.408108236049212,
Q9Y3D6,Q14011,2.4129814765809634,
Q9Y3D6,Q15843,3.3844334483876866,
Q9Y3D6,Q96L92,3.0106394377303847,
Q9Y3D6,Q9UJZ1,4.104488516363861,
