,Regulator,Target,Weight,Sign
203,P07339,P38606,0.003111267010063151,
204,P07339,P42765,0.002112985757601556,
205,P07339,P46379,0.002254682147619364,
206,P07339,P49756,0.008390865553122413,
207,P07339,P53621,0.0027785222014107104,
208,P07339,P61981,0.0016178623714274364,
209,P07339,P62328,0.0022637763245447954,
210,P07339,P62854,0.12660661335732043,
211,P07339,P62906,0.0027952677537489844,
212,P07339,P62913,0.004176959121566813,
213,P07339,P81644,0.0033336793391840576,
214,P07339,Q01995,0.000977976598239805,
215,P07339,Q02218,0.0008855916911591785,
216,P07339,Q02818,0.0025297209890120693,
217,P07339,Q07065,0.004153012560057694,
218,P07339,Q07866,0.0,
219,P07339,Q07954,0.007979986541067071,
220,P07339,Q13162,0.00748675071478842,
221,P07339,Q13263,0.019168752981420522,
222,P07339,Q14011,0.0013946769301995438,
223,P07339,Q14444,0.022427520087505058,
224,P07339,Q15233,0.010191872300341687,
225,P07339,Q15459,0.025892063077869745,
226,P07339,Q15843,0.008045009353465249,
227,P07339,Q16629,0.002811573254664158,
228,P07339,Q7Z417,0.006064100117519198,
229,P07339,Q96HC4,0.0005392887343438581,
230,P07339,Q96KR1,0.0015146413878550048,
231,P07339,Q9UHD8,0.001119868844312662,
232,P07339,Q9UJZ1,0.002568374433824852,
233,P07339,Q9UMS6,0.013553190700193682,
234,P07339,Q9UNH7,0.025980480947903138,
235,P12956,O94925,0.01735487482395715,
236,P12956,P00568,0.008490183686829432,
237,P12956,P04179,0.0,
238,P12956,P06753,0.0,
239,P12956,P07339,0.0004799860689323042,
240,P12956,P13010,0.030550287861099132,
241,P12956,P15374,0.00011630057611277268,
242,P12956,P18859,0.020743022603534066,
243,P12956,P21281,0.00021093424677824185,
244,P12956,P23246,0.0226312988792104,
245,P12956,P26022,0.04780296348991888,
246,P12956,P27816,0.011368473824856533,
247,P12956,P30048,0.02098803865615084,
248,P12956,P30085,0.0209851513821242,
249,P12956,P35222,0.0174990434072523,
250,P12956,P38606,0.0,
251,P12956,P42765,0.0,
252,P12956,P46379,0.015368515061700297,
253,P12956,P49756,0.007455795143037784,
254,P12956,P53621,0.012252559242558853,
255,P12956,P61981,0.013957010189654789,
256,P12956,P62328,0.01589021730560885,
257,P12956,P62854,0.0,
258,P12956,P62906,0.013350448514552377,
259,P12956,P62913,0.010169126648608988,
260,P12956,P81644,0.006517022962614491,
261,P12956,Q01995,2.2328659030601772e-05,
262,P12956,Q02218,3.537401212802905e-05,
263,P12956,Q02818,0.023206667229331117,
264,P12956,Q07065,0.00972510465069857,
265,P12956,Q07866,0.015896056359514927,
266,P12956,Q07954,0.00407484596556525,
267,P12956,Q13162,0.00011082384598817163,
268,P12956,Q13263,0.02107324281775418,
269,P12956,Q14011,0.004808734725395399,
270,P12956,Q14444,0.019472976806839723,
271,P12956,Q15233,0.014060154245732568,
272,P12956,Q15459,0.03401728184727444,
273,P12956,Q15843,0.0,
274,P12956,Q16629,0.030141622223903694,
275,P12956,Q7Z417,0.0002988869335755845,
276,P12956,Q96HC4,0.03050390999734427,
277,P12956,Q96KR1,0.01119261749027118,
278,P12956,Q9UHD8,0.030255297230793232,
279,P12956,Q9UJZ1,0.0,
280,P12956,Q9UMS6,0.012433144118190947,
281,P12956,Q9UNH7,0.0017078721891359,
282,P13010,O94925,0.026178688270128744,
283,P13010,P00568,0.007809068007285452,
284,P13010,P04179,0.037447098206384366,
285,P13010,P06753,0.0005012446417752364,
286,P13010,P07339,0.00014612948415979382,
287,P13010,P12956,0.010980149619159243,
288,P13010,P15374,0.0006614670028094218,
289,P13010,P18859,0.0072894766644941815,
290,P13010,P21281,0.005396643885345548,
291,P13010,P23246,0.004627741871078422,
292,P13010,P26022,0.009778608685732321,
293,P13010,P27816,0.03444409401208139,
294,P13010,P30048,0.0006762067041397674,
295,P13010,P30085,0.0001734232690932221,
296,P13010,P35222,0.017344368601186586,
297,P13010,P38606,0.0,
298,P13010,P42765,0.0,
299,P13010,P46379,0.19617264137692308,
300,P13010,P49756,0.00030206993031930523,
301,P13010,P53621,0.0016861592153859678,
302,P13010,P61981,0.008472688316954424,
303,P13010,P62328,0.0005493592764389981,
304,P13010,P62854,0.0,
305,P13010,P62906,0.016376758234504428,
306,P13010,P62913,0.008427793567785702,
307,P13010,P81644,0.0,
308,P13010,Q01995,0.0011916797425765924,
309,P13010,Q02218,0.0,
310,P13010,Q02818,0.027673776803837445,
311,P13010,Q07065,0.00042950181754880897,
312,P13010,Q07866,0.021224675863004472,
313,P13010,Q07954,0.013141463122213337,
314,P13010,Q13162,0.022054384829369788,
315,P13010,Q13263,0.00622952676937823,
316,P13010,Q14011,0.016098568640221765,
317,P13010,Q14444,0.00108656796537764,
318,P13010,Q15233,0.00014095523659071038,
319,P13010,Q15459,0.018674590472054036,
320,P13010,Q15843,0.0013313554481127158,
321,P13010,Q16629,0.01876726642541152,
322,P13010,Q7Z417,0.0025549255481725776,
323,P13010,Q96HC4,0.016414783599365955,
324,P13010,Q96KR1,0.00023196620388144537,
325,P13010,Q9UHD8,0.030276878035134677,
326,P13010,Q9UJZ1,0.016468941904334344,
327,P13010,Q9UMS6,0.004354532168739351,
328,P13010,Q9UNH7,0.012644540724962032,
329,P15374,O94925,0.006175947493537154,
330,P15374,P00568,0.04856780152420709,
331,P15374,P04179,0.0,
332,P15374,P06753,0.0012163552082765567,
333,P15374,P07339,0.01780345725453348,
334,P15374,P12956,0.056669853440029755,
335,P15374,P13010,0.0034991186321895206,
336,P15374,P18859,0.00012901763160671578,
337,P15374,P21281,0.006751746549855331,
338,P15374,P23246,0.033923357287218646,
339,P15374,P26022,0.016669799851672225,
340,P15374,P27816,0.0035668803017094453,
341,P15374,P30048,0.02175170001673494,
342,P15374,P30085,0.06278729028080134,
343,P15374,P35222,0.0,
344,P15374,P38606,0.0009535148578156441,
345,P15374,P42765,0.010694717030735656,
346,P15374,P46379,0.024781920072921335,
347,P15374,P49756,0.009063540220590721,
348,P15374,P53621,0.0372254381438847,
349,P15374,P61981,8.359714048341797e-05,
350,P15374,P62328,0.11325474588781884,
351,P15374,P62854,0.008017799769511206,
352,P15374,P62906,0.019904740965494837,
353,P15374,P62913,0.015178266003266399,
354,P15374,P81644,0.021007006839608277,
355,P15374,Q01995,0.012404796237032969,
356,P15374,Q02218,0.005183579335551561,
357,P15374,Q02818,0.008086223385608195,
358,P15374,Q07065,0.031582016478842234,
359,P15374,Q07866,0.016738312151846055,
360,P15374,Q07954,0.0002700380464557842,
361,P15374,Q13162,0.0038006347078527796,
362,P15374,Q13263,0.026253097456228152,
363,P15374,Q14011,0.009449193850576233,
364,P15374,Q14444,0.008431271066991826,
365,P15374,Q15233,0.008116730675861215,
366,P15374,Q15459,0.0068531598977357375,
367,P15374,Q15843,0.006405295375169028,
368,P15374,Q16629,0.0,
369,P15374,Q7Z417,0.03601143695597415,
370,P15374,Q96HC4,0.001169295687096302,
371,P15374,Q96KR1,0.009936693928201042,
372,P15374,Q9UHD8,0.0395452042344786,
373,P15374,Q9UJZ1,0.062376494573390034,
374,P15374,Q9UMS6,0.005461878324202418,
375,P15374,Q9UNH7,0.0013696572922109558,
376,P18859,O94925,0.009582910191057264,
377,P18859,P00568,0.013206091634595211,
378,P18859,P04179,0.0036795091086193597,
379,P18859,P06753,0.00572608737650311,
380,P18859,P07339,0.00157043493307177,
381,P18859,P12956,0.015732269815786258,
