,Entry,ctr_1,ctr_2,ctr_3,ctr_4,ctr_7,ctr_8,ctr_9,ctr_10,ctr_11,ctr_14,ctr_21,mg_1,mg_2,mg_3,mg_4,mg_7,mg_8,mg_9,mg_10,mg_11,mg_14,mg_21
10,P08670,10.26361240066898,10.310055737750892,10.32095593690098,10.487633217456876,10.357858648301793,10.140884980265866,10.40186560719961,10.397279378853593,10.504511639404631,10.413852760042866,10.434265430560304,10.341513659870252,10.446102033368978,10.37162192717602,10.428345408184885,10.350674348233282,10.386159958727657,10.436051275202242,10.51615180913224,10.49045012035602,10.46253275803509,10.338157564271773
11,Q14315,9.13602259939701,9.104964845527823,9.086039331268038,9.081167214713473,9.016448318259037,8.844930494113878,8.877572894676609,8.973178672321012,9.00590944649456,8.97754985274326,8.938839824311605,9.221022805204841,9.187605315418148,9.146840934035067,9.019157847739283,8.941188324583631,8.854561076948297,8.927288219198813,9.016197353512439,8.925203762264207,8.991070942816439,8.917694520427995
12,P46821,8.878349422217775,8.915072539886541,8.918732612398285,8.95161432972651,8.731798207375975,8.456168581667628,8.170496405744847,8.380536840488748,8.627365856592732,7.836804991956014,8.711773496120912,8.875038100401646,8.8965758168188,8.965319316323017,8.903697574054833,8.628256066711007,8.352163215705444,8.748374113339935,8.746330553658598,8.721274627271088,8.50194885967128,8.555795528080129
13,P49327,8.573660511558021,8.429881419010764,8.461123196639614,8.538372624990156,8.545554507234066,8.803825699793988,8.328114460158389,8.581426233724123,8.401193684630025,7.774451269157471,8.219322508419337,8.54197841169702,8.598921759818635,8.48404345874591,8.665102346822575,8.76531829621988,8.381042842771908,8.546480969539267,8.500057998579122,8.515144994764821,8.39266178629079,8.075327934163258
14,P46940,8.685159304072842,8.699933069478629,8.57916600237946,8.554016448585713,8.547479333931026,8.597771948367752,8.117668940562442,8.681304567369832,8.493458050995189,8.609231456315058,8.434201514377563,8.744801318683773,8.805181306499021,8.678545692299574,8.552838494288029,8.789862630046382,8.157698479275517,8.445557502431367,8.617073766347765,8.699265224220325,8.570426178358973,8.414806279501013
15,Q00610,9.162594274442421,9.188365926063149,9.057361762985039,9.083610105162311,9.214234349025624,9.218404199249722,9.11350884053282,9.27276958655176,9.173448514744315,9.258230090449128,9.135387108382385,9.131779009369186,9.170730969337859,9.16426360802266,9.17283636012271,9.236990464653148,9.098436045340364,9.096040554295428,9.114210528249993,9.127525924587694,9.16521463991033,9.122084750710869
16,P13639,9.267265619762563,9.306103208727585,9.300573746885433,9.308265533209934,9.106088858382442,9.175888540992899,9.202733458045444,9.183383742052696,9.174844493655456,8.992774364255355,9.120672623282607,9.292920299600006,9.324878943111994,9.299311135472283,9.351564415204106,9.159386700961754,9.384944498216244,9.087426457036285,9.21063950615415,9.060886623004663,8.980739456400926,8.936156710249774
17,P78527,8.323499608431751,8.307410454213674,8.020982442918418,7.784717118970955,7.3178127081508215,,,7.055493006677845,6.886806460905693,,6.793867182390594,8.2500538695218,8.245216456947668,8.073901558314207,7.7867727105689815,7.105646412651236,,6.735702670907348,,6.938374602545495,,
18,p_0,8.840388419602107,8.613143854116673,8.710320496304435,8.821074426705328,7.6017558787388015,7.845370939357784,7.9444431890389176,8.249614102344582,7.607776603741693,8.833848049531149,9.265619583153885,8.752294350285858,8.801575198462585,8.813727729958936,8.718460167333527,8.187689893525183,8.038103310305898,7.296358004741391,7.971887883853291,7.391288048595298,8.003072595967675,9.353973902321005
19,P14625,9.453960132086706,9.312367794715973,9.346763599371258,9.26941953751105,9.293362554711445,9.175888540992899,9.245315216352735,9.558132328323145,9.531248935551362,9.798160147445717,9.561065588672712,9.382413313126266,9.196866747249238,9.204554060135244,9.354703744625812,9.45117215751254,9.40671045860979,9.477945631325268,9.588316534926793,9.380554922154214,9.503313922815884,9.753429841575423
