	level_0	Symbols	ID	ctr_1	ctr_2	ctr_3	ctr_4	ctr_7	ctr_8	ctr_9	ctr_10	ctr_11	ctr_14	ctr_21	Mg_1	Mg_2	Mg_3	Mg_4	Mg_7	Mg_8	Mg_9	Mg_10	Mg_11	Mg_14	Mg_21	Sites	Effect
10	10	MAP4	MAP4	8.473048805088538	8.462173304706791	8.564737060271412	8.548008398738203	8.57055461430783	8.550582983999497	8.252221753598688	8.175424829790321	8.471233018649645	7.502577321658626	8.312325482315131	8.42646246149016	8.353088764833949	8.36475730657121	8.482816435838172	8.507896332029873	8.424326168309296	8.731266349075492	8.450664723252153	8.641900263516211	8.321867580630789	8.153906285138868		
11	11	PSMD2	PSMD2	8.3278287400942	8.331751125024443	8.412073962537521	8.270585679884825	7.099991233544684	7.636608238426431	7.256092065339013	7.949560763036211	8.282848602834644	8.058046230395282	8.32797162362301	8.42865304526201	8.346216013155006	8.194764024110887	8.183582992351017	8.070555015835032	7.895234642642808	6.7875383996525995	8.131201490026234	8.149988456491476	8.180956951334075	8.234770295160917		
12	12	XRCC5	XRCC5	8.549003262025789	8.500716623555478	8.375261133684306	8.449570956531211	8.373482100188978	8.335437840434784	8.051075307675749	8.282282156319097	7.731749883527264	7.188900373175912	8.205420915676342	8.515423426919186	8.48422863769372	8.365038482195706	8.503191242683334	8.499893186149237	8.220081924933815	8.20720335930803	8.215346702862167	7.898878692908451	7.656069439836465	7.2146054502900645		
13	13	COPB1	COPB1	8.458547204196593	8.475685712980605	8.38336648275504	8.181700704415961	8.136276535660292	8.07302145435974	7.938829824784029	8.394013663157313	8.276576681698554	7.679627735117284	8.216218700837137	8.311541958401195	8.24241718441772	8.325987466214443	8.347056665366523	8.420648745416555	8.118231648327027	8.092860943338817	8.22729525039171	8.262664624676255	8.26085813197114	7.98528722602303		
14	14	COL1A2	COL1A2	7.7281832778243835	7.7774993195903654	7.978235314045795	8.234922031428193	7.510330490823686	8.4136517520637	7.949472953848998	8.569514359510704	8.3901222515067	8.074121305906298	8.497247645415909	7.034427905025403	6.988839775231132	7.875240734689373	8.150541541374086	7.416091051942552	8.408121196675815	8.25683796590404	8.795845272395706	8.58114149899204	8.5119501703755	8.582404298019028		
15	15	COPB2	COPB2	8.456548216372394	8.338077815020867	8.40114195519373	8.287308951569972	8.44207193660303	7.935265363953307	7.958090631473623	8.380591083226832	8.220735530213101	8.044735697450507	8.178545314511007	8.426494995349033	8.428232013254334	8.423573519732736	8.458788881710845	8.429558499461422	6.953397225876687	8.250346800440827	8.059411937438657	8.275840939904668	8.336419704862658	8.156064312339865		
16	16	PDCD6IP	PDCD6IP	8.224118511106381	8.207391977978489	8.20002926655377	8.176149161126549	8.194736288728695	8.234238800347066	7.592898130878626	7.924434363543231	7.961919179051547	7.313825053809394	8.08246222116863	8.252003020538458	8.27669152884504	8.212666928793423	8.171697207248837	8.195927313597224	8.109578546904388	7.993929767037324	8.096110175084595	8.038818787373655	7.813994405526496	7.746268241198078		
17	17	ILF3	ILF3	8.428911939148605	8.593142016902032	8.502986698753512	8.401003979899482	8.273857435371118	7.571079638931142	7.221231613181412	8.213172309046818	8.2391993420543	7.809256612739585	8.343093345096138	8.276093991759216	8.41931125968998	8.34472621793986	8.472800315231284	8.291124546612215	7.699508195883737	7.992354659985455	8.393698016665414	8.148386687666822	8.24034952674222	8.20935413494016		
18	18	PALLD	PALLD	8.049721822152435	8.173506770208105	8.194292281551972	8.089410510983544	8.385141347604659	8.71811954093498	8.420401373436656	8.237317484174797	8.33663981864169	7.524253281297611	8.026165408839253	8.117569563463828	8.123688341667586	8.19309675807227	8.124993020025896	8.225825991461893	8.21412826182341	8.349995899262856	8.390475853937815	8.605488208657745	8.39091745249731	7.821074426705327		
19	19	ATIC	ATIC	8.294201600694747	8.310672074930123	8.39026372702938	8.30783820415656	8.353839323804543	8.105646412651236	7.7496590320948995	8.028733879349335	7.992946546537629	7.374491724943816	7.960475534293374	8.300008202553814	8.315361486979334	8.314835923004575	8.293274139710753	8.265596023087591	7.751917755480802	8.11058971029925	8.016071816734025	8.117171827514266	7.9364534196116665	7.857754522059442		
