Protein,ctr_1,ctr_2,ctr_3,ctr_4,ctr_7,ctr_8,ctr_9,ctr_10,ctr_11,ctr_14,ctr_21,mg_1,mg_2,mg_3,mg_4,mg_7,mg_8,mg_9,mg_10,mg_11,mg_14,mg_21
O94855,7.88854309,7.708165631,7.641043745,7.522371457,7.408268884,7.488918447,7.016271196,7.077912884,7.366034144,7.351968192,7.500442277,7.779913866,7.762763552,7.634393302,7.716787943,7.416171861,7.170011723,6.916708447,7.413036289,7.352417543,7.504150121,7.321913712
O94925,8.275093166,8.216594849,8.32219656,8.135582126,7.645307616,7.586554072,7.561101745,7.484994853,7.483004132,7.439520123,7.619156391,8.109866218,8.141031646,8.240450178,8.324321787,7.761080817,7.197007869,7.8627851,7.934793971,8.127386448,8.000627382,7.328882871
O94979,8.34693639,8.128825284,8.061808863,7.929660011,7.875804644,7.874464942,7.799855373,7.76157647,8.003415712,7.122900276,8.019148043,8.292414637,8.141362733,7.888653765,8.015746427,7.987157255,7.440494455,7.798885177,8.169530354,7.900937622,7.99900684,7.571322455
O95182,7.059275195,6.885775254,7.095661227,7.130008136,6.891507433,6.644857292,6.850540405,6.910540068,7.247890406,7.080222833,7.192180138,7.321953798,7.321565348,7.29830851,6.456630109,6.769155739,7.121380724,7.123847133,7.249168371,7.561435707,7.420384297,7.302092659
O95336,7.459418202,7.358349699,7.34991563,7.282549713,7.689087241,7.388754837,7.044683214,7.597185602,7.238195931,7.275352223,7.417987694,7.631437602,7.356150253,7.263603976,7.501297524,7.734876083,7.244764721,7.599808706,7.39282437,7.518636923,7.632394116,7.465650495
O95340,8.664719278,8.378814551,8.466850844,8.117891052,8.059921838,8.02200837,7.065022713,8.01075814,7.771611464,6.914832988,7.503414791,8.620364331,8.46361499,8.158523428,8.151800569,8.016202066,7.339489197,7.836377407,8.003316495,7.878562281,7.621292706,7.122236025
O95373,8.479708968,8.405919092,8.307416523,8.20394274,7.374794841,7.830771923,7.131096651,7.042806403,7.410114037,7.258580998,7.50257516,8.418501107,8.354924438,8.366125976,8.306058413,7.882599935,7.552204951,7.064047968,7.455790315,6.6173291,7.412537391,7.433898836
O95394,7.869149453,7.864121396,7.656161306,7.665909413,7.834848867,7.502311141,7.312395972,7.337645524,7.572110203,7.37028756,7.435892426,7.588361074,7.421310096,7.446341331,7.57745831,7.478093633,7.272968627,7.319199915,7.329732889,7.482097023,7.499716584,7.315359134
O95433,8.221633916,8.148992788,8.052144646,8.037206794,7.592358243,7.4895085,6.555250601,7.381532784,7.396688147,7.112233067,7.298670661,8.106516103,8.03206838,8.107221953,7.995488799,7.861926549,7.594129143,7.463844885,7.167337685,7.276676019,7.284492166,7.018533844
O95777,7.346934479,7.493649652,7.518983651,7.236486311,7.402776879,6.965778475,7.37121049,7.351503506,7.246315822,7.042281639,6.779869411,7.332191095,7.563446088,7.609099103,7.635907563,7.209247388,7.254639154,7.037716489,7.0850421,7.085923172,7.07070505,6.903296291
O95782,7.561420045,7.741941114,7.523041828,7.433314756,7.675086121,7.55799637,6.900004541,7.951683017,6.77817505,7.187063131,7.402388375,7.630478436,7.679343884,7.557997181,7.304528729,7.869881785,7.288926065,7.629313617,7.58142798,6.98116574,7.568328609,7.367049263
O95793,7.569332362,7.909634858,7.783859992,7.435010741,7.295356248,7.015791278,7.346299654,6.940027493,7.157046899,7.287082869,7.076726009,7.43247127,7.389056023,7.549128397,7.468798496,6.875559827,7.467459298,7.258235375,7.744948547,7.207583309,7.248588644,7.062129617
O95816,7.297615676,7.373519719,7.719565754,7.746593014,7.406054788,7.23369137,6.982036232,7.813109074,6.884652234,7.600176871,7.566041952,7.50137281,7.820479531,7.88435422,7.676321387,7.527379049,7.111987706,7.537193422,7.502714259,7.273041112,7.383110708,7.548741497
O95817,7.551925428,7.539550749,7.631326785,7.388624686,7.386635841,7.244730906,7.325207016,6.885486371,7.133880733,7.022008703,6.941921852,7.654844606,6.951560949,7.425848565,7.534069406,7.010151794,6.730314995,7.14445153,7.143906332,7.08690849,6.892847353,7.644506336
O95881,7.801033795,7.799178188,7.805213366,7.83126697,7.091464026,6.697188605,7.041144468,7.500686895,7.349044152,7.648301135,7.417174516,7.527351385,7.602695061,7.095552628,7.632798744,7.243090406,7.24053811,6.924455988,6.919274059,7.46931883,7.577650034,7.718894569
P00338,8.980002941,8.964376599,9.12978166,9.109566917,8.582718232,8.716129458,8.34675854,8.542915982,8.633548814,8.672431246,8.797032306,9.087975706,9.007329175,9.075058594,9.089973545,8.732874967,8.359652554,8.520153112,8.574447007,8.600082485,8.655322891,8.987339444
P00367,8.275317155,8.200105341,8.14411977,7.626857194,6.909107393,6.649899899,6.777353021,7.543249225,7.383069052,8.111659701,8.073400522,7.919284428,7.839768411,7.915466047,7.949444004,7.12174198,7.21826793,7.071379157,7.56908685,7.864755924,7.527807057,8.611949686
P00441,8.066725937,8.058157988,8.269084021,8.202731214,6.833458113,6.685039143,6.837808448,7.304390807,7.236066732,7.042447274,7.488427134,7.982844362,7.426630383,8.142826896,8.263504894,7.115449997,7.1431372,7.043731909,7.466910097,7.508336893,7.349262923,7.923041544
P00491,8.157146354,8.22863308,8.310282361,8.05103986,7.570124771,7.908416339,7.004193331,7.22146323,7.666385548,7.158499286,7.426610528,8.009814498,7.955339446,8.042091881,8.314740046,7.998246448,7.076332699,7.366730073,6.92919462,6.977699378,7.118042458,7.848982167
P00492,8.014777673,7.860584487,8.156043927,7.94094553,6.987963636,7.268722647,7.088742467,6.875432482,6.893153406,7.161410925,7.410993576,7.787026703,6.76054607,7.887995591,8.151913493,7.010975351,6.92688114,7.431432041,7.037079205,7.107565284,7.130873138,7.440575489
P00505,7.965227198,7.864405703,7.996124956,8.150065921,8.065701149,7.998431496,7.234146041,7.346385769,7.157236979,7.821764714,8.095732131,8.054793461,7.914078354,7.922276185,8.093422097,7.566014805,6.754556368,7.847444021,7.359065828,7.214195697,7.692605895,8.508781901
P00558,9.074992736,8.998284317,9.091334504,8.87118379,8.585672681,8.697412513,8.672614665,8.842289803,9.124409369,8.783301517,9.106813985,8.887739217,8.885166421,9.033542237,8.97019968,8.766540777,8.619172477,8.517669129,8.915039322,9.085930481,9.104440823,8.992132088
P00568,6.83920557,7.184808685,7.509887298,7.61026701,7.456524693,7.582168093,7.547609704,7.558899097,7.381072417,7.30733565,7.264893888,7.264929475,7.361165362,6.855468307,7.689783313,7.67615259,7.491310726,7.390794134,7.34837329,7.416281453,7.350159741,7.126093242
P00761,8.864767092,8.743756631,8.821388047,8.354924802,7.571436241,7.839073679,7.974338751,7.620225689,8.088140959,7.663055412,7.982491965,8.583835723,8.515457227,8.347092866,8.503996899,7.774150984,8.143815546,7.783802971,7.96459563,7.95361193,7.916994968,8.318791184
