Protein,ctr_1,ctr_2,ctr_3,ctr_4,ctr_7,ctr_8,ctr_9,ctr_10,ctr_11,ctr_14,ctr_21,mg_1,mg_2,mg_3,mg_4,mg_7,mg_8,mg_9,mg_10,mg_11,mg_14,mg_21
P55735,7.148702906,6.848977774,7.157086409,6.779961685,6.859062235,6.699837628,6.899119692,6.706940403,7.116106805,7.129745739,7.27447655,7.423406935,7.010336623,6.974027795,7.177117103,6.657990435,6.857708799,7.118232821,7.017278476,7.07400041,7.192773212,7.533515015
P55769,7.610816808,7.515487051,7.443970208,7.279604937,7.115477924,6.900564237,6.704685398,7.203095598,7.373618946,7.360262441,7.445986402,7.409777952,7.395677327,7.140867541,7.291776717,6.908267422,7.822584319,7.284300183,7.302937068,7.377381644,7.278142727,7.43771908
P55786,8.256759651,8.216677853,8.255851529,8.09126194,7.670681866,7.853250311,7.434449407,7.827214201,7.777854347,7.464260048,7.637396769,8.210752794,8.041774891,8.105029594,8.145582742,8.02308708,7.494159705,7.164776371,7.779037495,7.816683965,7.626415295,7.933686304
P55884,8.255278553,8.124603013,8.06810117,8.02804945,7.401622288,7.652977914,7.315860399,7.722574579,7.616530191,7.038479188,7.710064874,8.15267779,7.801950941,8.014200006,8.001780924,7.79874462,7.429470818,7.675838973,7.76890146,7.727286021,7.553026837,7.557916978
P56192,8.112130733,8.013189658,7.863046802,7.561860892,7.408446707,7.432456025,7.224602612,7.438290602,7.246190467,7.260794281,7.351337344,7.548178213,7.61110457,7.460879532,7.74787626,7.57081897,7.154910798,7.307454479,7.29107809,7.449047668,6.918510391,7.686434708
P56537,7.953898545,7.855478416,8.382857086,8.189915422,7.36724857,7.594693702,7.340009776,7.290422308,7.727171742,7.750867748,7.722789123,7.775002379,7.739519334,8.321565222,7.754693098,7.322516095,7.888622334,7.389884706,7.915376807,7.942328142,7.735830358,7.619052004
P58546,8.277439448,8.080145071,8.042787567,8.265451314,7.649546463,7.459753392,7.243107772,7.565424241,7.656305282,7.368985787,7.541962265,8.137812265,8.043100656,8.130494925,8.223245488,7.206071609,7.316491328,7.460242792,7.678724256,7.277340236,7.10296741,7.460329078
P59998,8.416371108,8.399034889,8.385138889,8.418848145,8.334482203,8.155470684,7.971159236,8.199448066,8.071593331,8.129884262,8.060182944,8.426504935,8.504692345,8.421747019,8.26765887,8.390678241,8.046040673,8.294702513,8.11192177,8.154897567,8.206918354,8.287492492
P60174,9.224741304,9.223729357,9.292008216,9.337576712,8.929790711,8.787591427,8.694793683,8.631087398,8.840218124,8.78600977,8.884666585,9.021947337,9.120678822,9.224514251,9.146568729,8.893562189,8.549037177,8.90295825,8.700349705,8.965785875,8.875459731,8.872493433
P60228,8.400346853,8.258736008,8.174867797,7.676909588,7.528914502,7.52424063,6.836255087,7.543241916,7.686030895,7.382339897,7.890935762,8.156604189,7.881386999,7.935913989,8.093164008,7.627044,7.254510231,7.267209343,7.645489743,7.535647438,7.260676142,7.410805288
P60660,9.504811525,9.083590281,9.621862264,9.524948167,8.979286716,8.718721485,8.940423152,8.915587327,9.288882237,9.18759301,9.3427219,9.375829421,9.385741913,9.534466018,9.519589112,8.896562743,8.569307309,9.218348692,9.273648357,9.296934874,9.321107006,9.595329801
P60842,9.375993899,9.425305226,9.360346446,9.110231,8.878471032,8.846030069,8.488779276,8.886893638,8.877147878,7.925171288,9.016212814,9.176389629,9.189642655,9.222800198,9.163525183,8.96084807,8.643338693,8.862060254,8.979953757,8.852824022,8.897395861,8.872513777
P60866,8.550930862,8.459387475,8.653946341,8.112647532,8.11406644,7.745198835,7.834637733,7.881891044,8.314993232,7.979143032,8.374498564,8.820522976,8.315898608,8.153001774,8.025120747,8.14110388,7.762648076,8.102223284,8.163746486,8.239825449,8.170448584,7.939145155
P60900,8.049370368,8.09701839,8.044563767,8.084261726,7.959815347,7.77241672,7.479769905,7.472277114,7.575249524,7.755221278,7.835154339,7.904339191,7.999105386,7.944180077,8.001181756,7.653617569,7.940095633,7.921342333,7.62641455,7.29038646,7.78066229,7.85589674
P60903,8.621336782,8.63892062,8.476640727,8.218972228,7.874560294,8.937273202,8.155652927,7.741775871,7.974350272,7.650377438,7.671880138,7.742151898,8.213230097,7.678235529,8.208674431,8.766394098,8.230353328,8.483527289,7.835678006,8.170495449,7.543639978,7.746568096
P60953,7.74895168,8.06689315,7.748325976,7.663225109,7.010098302,7.739218755,7.20054611,7.67078832,7.075722551,7.409557168,7.407875637,7.763478817,7.942623847,7.750320601,7.798522927,7.356997325,7.382429567,7.228687999,7.407882053,7.334057936,7.307347175,7.384612724
P60981,7.971757956,7.759546531,7.900332008,7.844317672,7.390229271,7.80300917,7.902091059,7.88497913,7.61484767,7.577159838,8.075368512,7.930020299,8.102271234,7.840854216,7.683930114,7.676104613,7.390432203,7.676069211,7.687456321,7.849063651,7.977288903,7.592351841
P61019,7.836068304,7.980390437,7.764125444,7.595037624,7.330222253,7.622414922,7.331532824,7.360461906,7.369590356,7.2774295,7.478860498,7.765980244,7.88590239,7.588689794,7.690860717,7.496344898,7.278376485,7.508419788,7.417085548,7.394787586,7.524390837,7.448338772
P61086,7.689162259,7.434301645,7.490538705,7.576361802,7.433372421,7.352259364,7.809918375,7.222577766,7.287099888,7.318597779,7.477044032,7.495306779,7.638721009,7.583491651,7.38696406,7.278429443,7.023812183,7.166840258,7.357757347,7.496649167,7.513196392,7.65385679
P61088,8.180282362,8.26573996,8.251462714,8.097756522,8.131579461,7.95856588,7.6845845,8.16137675,7.732090244,7.355225097,7.964256329,8.024748864,8.006410019,8.11732435,8.067411129,8.08852405,7.748718644,7.971596649,8.030922947,7.981464021,7.89851581,7.694823212
P61106,7.482285317,7.528561049,7.382673999,7.315262864,7.285959364,7.434475015,7.104349471,7.316560501,7.10479226,7.110005621,7.149016189,7.247530453,7.237711808,7.48161116,7.284148648,7.453527167,7.023812183,7.235297523,7.288147621,7.372800073,7.164151747,7.328877325
P61158,8.802079698,8.736987684,8.732855719,8.355122426,8.30430148,8.343986485,8.154460383,8.349142463,8.373320463,7.826709319,8.455347297,8.512631785,8.505579933,8.612495677,8.60509771,8.510627932,7.888651758,8.374500558,8.337421874,8.397819343,8.371402123,8.628594782
P61160,8.6586734,8.663183076,8.56502843,8.303202432,8.329649003,8.186455152,7.943127759,8.247712043,8.36375502,7.682516838,8.345036403,8.551199158,8.46181992,8.52789249,8.527342116,8.308843978,7.594122642,8.353210361,8.358190449,8.40982391,8.295778122,8.570896904
P61163,7.856091878,7.910114902,7.835616363,7.942781539,7.481920973,7.477225792,7.523226232,7.841581086,7.603933423,7.574986557,7.643844848,7.839543827,7.820610352,7.906133752,7.801150483,7.781477741,7.572189806,7.539781573,7.574942948,7.659053648,7.621466137,7.452064739
P61221,7.778521113,7.166453846,7.410620812,7.440247966,7.751019084,7.534508459,7.258966929,7.381232919,7.314312779,7.347996906,7.211923992,7.673155674,7.582920846,7.498912566,7.151290016,7.626595752,7.164424635,7.447837774,7.340490838,7.398343047,7.473314749,7.50318422
P61247,8.243569651,8.327273646,8.107218926,8.004307047,7.905388836,7.899720492,7.391079404,7.975767647,8.000760142,7.884307781,7.92332818,8.546333713,8.485797896,7.969349916,8.065275121,8.09401945,7.237610967,7.933503005,8.174647182,8.376163027,8.18538407,7.704685707
P61289,8.123829197,8.236282644,7.985304164,8.062133536,7.672440443,7.483321479,7.213880581,7.620194478,7.408315393,7.354774389,7.459291692,8.020543984,8.287946161,8.122135596,8.015597551,7.797030324,7.254421961,7.51793469,7.436684017,7.397072747,7.309798035,7.356325057
P61313,8.286411655,8.021044039,8.187375893,7.87133706,7.729461349,7.539908364,7.397119362,7.788516313,7.42079324,7.315609689,7.522676407,8.181289155,8.118871925,7.898634204,8.025933935,7.693024916,7.288487303,7.608657802,7.418661853,6.686895043,7.46767907,7.30906658
P61353,8.339535443,8.054771816,8.14961023,8.034235065,7.402674637,7.427014977,7.587759011,7.684424123,7.678522603,7.530827632,7.462338896,8.199240891,8.283684336,8.20745136,7.623413229,7.707324248,7.279499407,7.579191029,7.792387494,7.714820993,7.774003707,7.830622225
P61513,7.899532617,7.834122653,7.847512099,7.735631299,7.444525257,7.387473888,7.15530538,7.275785496,7.039541796,7.144001162,7.27796849,7.859536194,7.049440684,7.842743695,7.704443718,7.188768647,7.039556863,7.32418865,7.415230783,7.026382016,7.216599339,7.099341832
P61604,8.563078652,8.783429292,8.801523936,8.829349649,8.329211695,8.299988493,8.132410749,8.562767794,8.24064235,8.334554991,8.454051821,8.70555776,8.890537743,8.932135832,8.781275734,8.379386923,8.067243225,8.190045862,8.25844549,8.235091394,8.273120072,8.582077244
P61923,8.350228654,8.051474008,8.140997645,8.195738543,7.640405014,7.506906498,7.109310457,7.781309947,7.767509512,7.572162125,7.797877946,8.195322882,8.327653948,8.218215089,8.079134628,7.458186289,7.060031603,7.591016092,7.787356185,7.930525028,7.647562198,6.889740888
P61960,7.968347917,7.434132684,7.900533863,7.611603691,8.229929552,7.754256401,7.820244339,8.131397249,7.812048149,7.771993397,7.635393307,7.904346792,7.807564815,7.643548625,7.899597378,7.725401779,7.744385924,7.567409563,7.680433134,7.670632463,7.713000398,7.655017067
P61970,7.972545076,7.974625669,8.030266923,7.829169975,7.851509073,8.000155179,7.722572376,8.123386286,7.525582683,7.562042715,7.449294494,8.002558693,7.759408811,7.84514565,7.741661703,7.954171422,7.659279118,7.713006047,7.505618363,7.479470444,7.514152417,7.576458807
P61978,9.097769871,9.111032655,9.104644923,9.03744194,8.675895121,8.499639385,8.270234278,8.57296592,8.572952653,8.561851677,8.735723239,9.050013132,9.140515986,9.169222503,9.03465875,8.60746809,8.213110545,8.458820111,8.745017583,8.663712319,8.644167122,8.550538249
P61981,8.260903823,8.07663869,8.306173256,8.309924132,8.106358397,7.994382257,7.770297623,8.001211036,8.136041058,7.677425788,8.072826336,8.341807519,8.166019538,8.099564597,7.849252778,8.159447481,7.852350072,7.973433476,8.2485288,8.378178691,8.294158163,8.215975432
P62081,8.401388296,8.354232639,8.291890251,8.310313465,8.433464759,8.006475859,8.255010265,8.297137975,7.592998782,7.874381442,7.959922277,8.265716818,8.390607807,8.450372534,8.295359699,8.024586428,7.881709826,8.202683151,8.334831345,8.081336769,8.062230202,7.99422697
P62136,7.973157645,8.219655727,8.036568408,8.137175182,7.849979733,7.732085243,7.535854743,8.004259127,7.531093523,7.482076987,7.597061413,8.175894071,8.326051992,8.233139905,8.187468034,7.989096318,7.558173092,7.676846972,7.828648675,7.5733691,7.417423436,7.733973807
P62158,8.990704266,8.773026048,9.072307739,8.753842882,8.503278094,8.010500739,8.236479492,8.361886463,8.428059952,8.345950216,8.258937104,8.798251151,8.63752082,8.865551266,8.847520052,8.487558149,8.460590599,8.69746228,8.606219335,8.317905112,8.374955343,8.775314743
P62191,8.239947559,8.221547864,8.086330628,8.019013589,7.740841173,7.521742433,7.101675647,7.649940554,7.675129716,7.42062519,7.766625684,8.030990697,8.170611452,8.019914836,8.0590459,8.153066673,7.668159431,7.558914404,7.563199076,7.706819373,7.385805449,7.596321159
P62195,8.387046307,8.443558327,8.318961474,7.969042089,7.999229648,7.413059341,7.511294836,8.228324863,7.900264593,7.742200065,8.019066754,8.149589934,8.229718207,8.262060439,8.302948131,8.291351831,7.535870947,7.920946461,8.154273394,8.029297237,8.005031845,7.869305562
P62241,8.986058792,8.956986151,8.753731786,8.496117705,8.372406512,7.864210729,8.051328681,8.275759867,8.102523153,7.946921046,8.245906166,8.942019786,8.931872526,8.817416871,8.639112084,8.227184116,7.970251107,8.338534531,8.389942839,8.298737327,8.314512322,7.998143887
P62244,8.607223811,8.567075752,8.398960864,8.211813049,8.165015515,8.084562727,8.007128998,7.983906555,7.406652345,7.293411318,7.76248161,8.469318086,8.051170576,8.452330154,8.492855126,8.282351838,7.96279559,8.110100865,7.78947758,8.070857865,7.61424615,7.626397234
P62249,8.632514236,8.64410552,8.479332087,8.357705265,8.010629513,8.32127084,7.836361365,7.802591006,7.921875376,7.529789482,7.87902587,8.735322103,8.675088261,8.568501643,8.165294234,7.969706653,7.892401074,7.911201306,7.99022121,7.96194606,7.956457568,7.388385898
P62258,8.676827494,8.546992678,8.775333839,8.519146463,8.367246013,7.845259617,7.851021059,8.415074038,8.422944921,7.962745172,8.427881589,8.535419203,8.437835045,8.469053648,8.590171849,8.629759815,8.150825619,8.307427737,8.304829323,8.649907092,8.423540723,8.44576328
P62263,8.552815319,8.478187987,8.382636532,7.899355453,7.885881905,7.720240453,7.729502295,7.714751995,7.892099673,7.114048564,8.000632757,8.568301237,8.197091528,8.280387938,8.219357443,7.826570146,7.375271283,7.832530224,8.108388404,8.051400538,8.001732696,7.675306394
