category,BackgroundGeneCount,ProteinCount,ProteinNames,FDR,Description,Strength
TISSUES,1680,15,"Q9UQ35,P02461,P61981,P46778,Q9UPN3,Q05682,P53621,P62328,Q00341,P27635,Q01995,P62861,P09104,P04179,O43617",3.48e-05,Gastrointestinal tract,0.4879056830796061
TISSUES,1020,12,"P63208,Q9UQ35,P02461,P46778,P27816,Q9UPN3,P62328,Q00341,P27635,P09104,P04179,Q6P2Q9",3.67e-05,Sense organ,0.5181496162466033
TISSUES,1229,13,"Q07954,P49023,P62979,Q9UQ35,P02461,Q00341,Q02818,P27635,P62861,P09104,Q99471,Q14011,Q96HC4",3.67e-05,Fetus,0.5060570578720037
TISSUES,1970,16,"P63208,Q07954,Q13263,P62979,P02461,P46778,Q05682,P53621,P06753,P60903,P62328,Q00341,P13010,P43487,P27635,Q96HC4",3.92e-05,Integument,0.47831633226014675
TISSUES,1069,12,"P63208,Q07954,Q13263,P62979,P02461,Q05682,P06753,P60903,P62328,Q00341,P27635,Q96HC4",5.52e-05,Skin,0.5127409639161691
TISSUES,1176,12,"Q07954,P49023,P62979,Q9UQ35,P02461,Q00341,Q02818,P27635,P62861,Q99471,Q14011,Q96HC4",0.00014,Placenta,0.5020848529268326
TISSUES,1756,14,"Q02218,P63208,P13861,P49023,Q9UQ35,P46778,Q9UPN3,P53621,P06753,P62328,Q00341,P13010,P04179,Q6P2Q9",0.00028,Testis,0.4764755161379659
TISSUES,12619,38,"Q02218,Q9Y3D6,O60869,Q7Z417,P63208,Q07954,Q13263,P13861,P49023,P62979,Q9UQ35,P02461,P61981,P37837,P46778,P27816,Q9UPN3,Q05682,P02652,P53621,P06753,P60903,Q07065,P62328,Q00341,P13010,Q02818,P43487,P27635,Q01995,P62861,P09104,P04179,Q99471,Q6P2Q9,Q14011,O43617,Q96HC4",0.00032,Whole body,0.396608873830723
TISSUES,933,10,"P63208,Q13263,P13861,P61981,Q9UPN3,P62328,P43487,P27635,P09104,Q6P2Q9",0.00068,Hematopoietic cell,0.5074990917355885
TISSUES,1020,10,"P63208,Q13263,P02461,Q05682,P53621,P06753,P13010,Q01995,P04179,Q14011",0.0014,Uterus,0.497728927091086
TISSUES,648,8,"Q13263,P13861,P61981,Q9UPN3,P62328,P43487,P27635,Q6P2Q9",0.002,Lymphocyte,0.5237645846113115
TISSUES,235,5,"Q13263,P62328,P43487,P27635,Q6P2Q9",0.0053,Lymphoblast,0.5973565781598889
TISSUES,1496,11,"Q13263,P13861,P61981,P46778,Q9UPN3,P62328,P43487,P27635,Q99471,Q6P2Q9,Q14011",0.0065,Lymphoid tissue,0.468619127450907
TISSUES,398,6,"P61981,Q05682,P62328,P13010,P43487,Q01995",0.0065,Vascular system,0.548569930351409
