"","ctr_1","ctr_2","ctr_3","ctr_4","mg_1","mg_2","mg_3","mg_4"
"Q93077",7.54664838198125,7.74910414836243,7.45024191075835,7.49589335733435,7.50032976453364,7.72489353855136,7.55647827530856,7.46754187562018
"Q969G3",7.28907327372975,7.44624604015512,7.5436128668328,7.34959373404129,7.15934908633529,7.45205464628459,7.40601517339755,7.27854771209067
"Q969G5",7.30771543553632,7.28014668226954,7.12304802796391,7.00772780482359,7.24390856361401,7.24829324989936,7.16998036654289,7.1518286860108
"Q969H8",8.19979239015654,8.21784879753002,8.23780749957959,7.93411447347632,8.08619592294881,7.96728473000786,8.07028213396204,8.24137048319247
"Q96A11",6.94277419562748,7.00921663603332,7.04492340650103,7.26432553358383,7.04537501013409,6.96153512293869,7.22488311954339,7.20299389535735
"Q96A49",7.59597306702874,7.42508222670772,7.93563104105962,7.5548908177725,7.86406473185937,7.46478418161334,7.46366748378451,7.28497068489667
"Q96AC1",7.82460932525548,7.99695773431076,7.78390686124393,7.2650392519922,7.81741824986017,7.66657600551797,7.76467152670263,7.96001200834464
"Q96AE4",8.39780881957831,8.40965850525635,8.4756693742308,8.21768825932159,8.2509166326057,8.19374508200076,8.17992163678636,8.16328243623567
"Q96AG4",7.0987786231809,7.07902015864812,7.00297136307808,7.00208604802842,7.01037117460682,7.2711957407204,7.26441301997561,6.87805368794759
"Q96AT9",6.59448389115475,6.70769378676085,6.69892664657051,6.7695188633561,6.91473560909314,6.55985255958073,6.54141050348729,6.43611804305425
"Q96AY3",8.2938244863289,8.22047344048568,8.26951512017653,8.22389103006443,8.2012081843019,8.07740951339579,8.10187802357937,7.99362569115503
"Q96B97",6.90196764591191,6.72258920055118,6.8832228172284,6.89156606891986,6.86235923590238,6.81282762512556,6.87663382034603,6.75333124234388
"Q96C19",7.30359397386743,7.37769382118398,7.6001810307345,7.21018092270432,7.54172155237367,7.18291092428446,7.01892391955514,7.01574845646175
"Q96C90",7.7702758157243,7.6038321979873,7.58560272754067,7.44495104809145,7.48928860831282,7.48060382079895,7.4782591530686,7.97295148853565
"Q96CT7",7.50216897606953,7.5147034024223,7.51265213724547,7.39841497290645,7.42766705997,7.39009115445803,7.42609219799995,7.46305016126075
"Q96CW1",7.23257052673263,7.18233878380483,6.97654403200733,7.13714001447266,7.39490744325974,7.38682697031689,7.50202453983652,7.21565425067084
"Q96D15",8.27174830880252,8.33893905843259,8.37731259885954,8.54351038156978,8.24291464208089,8.3473142732918,8.37072529084192,8.46290189511978
"Q96DI7",6.88850737393999,6.9627545722878,6.90212800029311,6.81074167979644,6.8545327954561,6.80894582008809,6.74719865889111,6.83963493579208
"Q96EK6",7.27248636050279,7.13979991568499,6.91002700576728,6.99389798535934,6.94481483615474,7.07126084169963,7.03038369460535,7.08578006541826
"Q96EP5",7.69863681699842,7.70689154254117,7.64341156763059,7.68697346065983,7.4843016681895,7.75448431948828,7.79829947500325,7.68814332962419
"Q96FQ6",7.19786636108465,7.33620140738825,7.26010351825032,7.35417459805522,7.12676011140784,7.19068231869676,7.30099281736531,7.30628732672002
"Q96FW1",7.81046283452619,7.85135577298317,8.02806865710146,7.88788770274819,7.86590559538863,7.94091991164826,7.87724394180417,8.0894754202377
"Q96G03",7.37491666835501,7.37675227896397,7.67598105546582,7.39684319692732,7.34903671463661,7.28962913894412,7.38010803679371,7.33541788474775
"Q96HC4",8.40965659739284,8.37584203042136,8.50364252896297,8.33330567473818,8.48769675820913,8.21771472833657,8.29055700907717,8.22363313019852
"Q96HE7",7.84583397832854,7.72034425023482,7.80494114462052,7.76199568197042,7.71940680646299,7.59354041701964,7.20923606418804,7.88589848298404
"Q96I24",7.77861382572457,7.48832264684904,7.30582551512748,7.24659731556512,7.2484138242677,7.23172712587306,7.3058260038927,7.16804058947917
"Q96I99",7.32003731168941,7.27763606600161,7.41183237424927,7.29301096595337,7.16670501497072,7.38583605846466,7.35562698439948,7.39711224393775
"Q96IU4",6.97834822117686,6.92915385249386,6.80420845340122,6.89470680363671,7.01047712170085,6.96297694057834,6.97054628805018,6.88187571549502
