1769666_at	YLR127C
1769667_at	YOL122C
1769668_at	SPAC17A2.10c
1769669_at	SPBC18H10.14
1769670_at	YKL208W
1769671_at	YPR117W
1769672_at	SPAC17C9.05c
1769673_at	SPCC338.08
1769674_at	YPL119C
1769675_at	YDL177C
1769676_at	SPCC31H12.05c
1769677_at	YDR195W
1769678_at	SPAC1142.09
1769679_at	YER053C
1769680_at	SPAC890.04c
1769681_at	YOL105C
1769682_at	YOR104W
1769683_at	YCL018W
1769684_at	YBR110W
1769685_at	YDR518W
1769686_at	SPBC3B9.05
1769687_at	SPBC28F2.12
1769688_at	YDR210W
1769689_at	SPBC19F8.07
1769690_at	YJR033C
1769691_at	YLR089C
1769692_at	SPAC23C11.14
1769693_at	SPAC607.10
1769694_at	YBL036C
1769695_at	YDR363W
1769696_at	SPBC15D4.05
1769697_at	YBR002C
1769698_at	YMR227C
1769699_at	SPBC106.06
1769700_at	SPBP4H10.12
1769701_at	SPAC227.17c
1769702_at	SPCC70.04c
1769703_at	YJL097W
1769704_at	SPAC56F8.09
1769705_at	SPAC3H5.11
1769706_at	SPBC83.06c
1769707_at	YNL118C
1769708_at	YIL161W
1769709_at	YCL054W
1769710_at	YDR006C
1769711_at	YOL019W-A
1769712_at	SPAC19A8.06
1769713_at	YOL162W
1769714_at	SPAC1687.14c
1769715_at	SPAC29B12.14c
1769716_at	YPR121W
1769717_at	YPR031W
1769718_at	SPBC4F6.15c
1769719_at	YFL039C
1769720_at	YFL047W
1769721_at	YDR331W
1769722_at	SPBC557.02c
1769723_at	YGR174W-A
1769724_at	SPBC119.07
1769725_at	SPAC22H10.13
1769726_at	YDR515W
1769727_s_at	YDL184C
1769728_at	SPBC1709.15c
1769729_at	SPBC1289.12
1769730_at	YHR128W
1769731_at	YDR261C
1769732_at	YOL077W-A
1769733_at	SPAC9E9.08
1769734_s_at	SPAC186.03
1769735_at	YJR058C
1769736_at	SPBC21B10.13c
1769737_at	SPAC664.15
1769738_at	SPAC3F10.17
1769739_at	SPAC27D7.11c
1769740_at	YDR118W
1769741_at	YDR119W
1769742_at	YDL125C
1769743_s_at	YDL191W
1769744_at	SPAC9G1.06c
1769745_at	YMR178W
1769746_at	YGR083C
1769747_at	SPBC19C2.10
1769748_at	SPBC336.14c
1769749_at	SPBC2G2.01c
1769750_at	YDR253C
1769751_at	YOR285W
1769752_at	SPBP4H10.09
1769754_at	SPAC32A11.02c
1769755_at	SPAC6F12.14
1769756_at	YBR017C
1769757_at	SPAC1687.22c
1769758_at	YPL235W
1769759_at	YFL067W
1769760_at	YGR075C
