Regulator,Target,divergence_score
EIF3E,H2BC14,0.3909642693198298
EIF3E,AKAP2,0.32827294430426834
S100A10,S100A11,0.6544657023704903
S100A10,DCTN1,0.5970778300807196
S100A10,HDGFL2,0.5221430638642465
S100A10,H2BC14,0.6910293476295748
TMSB4X,ENO2,0.6100027911827075
TMSB4X,MYL9,0.40169358877354056
TMSB4X,S100A11,0.5654178174534301
TMSB4X,RPL29,0.6438665677291708
TMSB4X,BASP1,0.3986740954777685
TMSB4X,G3BP2,0.46823122802140904
RPL30,MYL9,0.5906788627929047
RPL30,CKAP4,0.6549291654284842
RPL30,LRP1,0.5352652091003287
RPL30,KTN1,0.5953092932956827
RPL30,PFDN4,0.6378280405228771
YBX1,KTN1,0.6574292583667543
TPM4,ENO2,0.7239680488540844
TPM4,PEPD,0.5940649174631106
TPM4,RPL29,0.6367171502658926
BASP1,MYL9,0.47100682594909443
BASP1,S100A11,0.6679679068295884
TAGLN,MYL9,0.6527039140386199
TAGLN,DCTN1,0.6782702144141386
FKBP4,ENO2,0.633196008995496
CKAP4,MYL1,0.6731784118671105
CKAP4,ENO2,0.6244114090212024
CKAP4,PDIA4,0.6288679056448754
CKAP4,ACO1,0.6893254048896016
CKAP4,RPL30,0.6531279390062943
CKAP4,SMARCE1,0.7044233102250744
LRP1,KRT8,0.4654327594870761
LRP1,ENO2,0.6507221656088967
LRP1,PDIA4,0.5679243390219512
LRP1,MYL9,0.6182969485139265
LRP1,RPL30,0.5334172378877386
LRP1,TAGLN,0.48831984045987487
LRP1,NUFIP2,0.6507545053686827
LRP1,KTN1,0.532478596371458
UBAP2L,PEPD,0.6116001419306316
UBAP2L,PXN,0.6242130945896012
UBAP2L,AKAP2,0.38486597661740773
UBAP2L,RBM8A,0.6296320107783002
DCTN1,ITGB1,0.5779588175214567
DCTN1,ENO2,0.6245353185682931
DCTN1,RPL29,0.6083676099778942
DCTN1,S100A10,0.5867862964592228
DCTN1,TAGLN,0.674265925303204
DCTN1,NUFIP2,0.6651006787031428
DCTN1,DDX17,0.5706177248298498
DCTN1,SMARCE1,0.5691499306032479
DCTN1,PFDN4,0.6236727333964496
SF3A1,PEPD,0.5017792862861812
SF3A1,ACO1,0.5580551884933044
SF3A1,SMARCE1,0.4354973092559722
SEPTIN7,PEPD,0.6472292895945546
TPM2,RPL29,0.7200550673494908
NUFIP2,ENO2,0.5215223407803508
NUFIP2,ACO1,0.62216565721372
NUFIP2,RPL29,0.6486589862619678
NUFIP2,H2BC14,0.6537581099307334
HDGFL2,YBX3,0.6254866525044307
HDGFL2,ACO1,0.7504005961985272
HDGFL2,MYL9,0.5791457798250246
HDGFL2,RPL29,0.6670282065465627
HDGFL2,S100A10,0.5212036267920594
HDGFL2,NUFIP2,0.6291941808081272
HDGFL2,SMARCE1,0.682931330514611
KTN1,HMGA1,0.6611545282284392
KTN1,RPL30,0.5847790274714217
KTN1,YBX1,0.6563552404405495
KTN1,SMARCE1,0.563313240229587
DDX17,DCTN1,0.56708522154082
SMARCE1,PEPD,0.6455176918022891
SMARCE1,PXN,0.5614375664064388
SMARCE1,CKAP4,0.6994710532155956
SMARCE1,DCTN1,0.569740500046538
SMARCE1,SF3A1,0.4383083485023818
SMARCE1,HDGFL2,0.6907437301398055
SMARCE1,RBM8A,0.6319150103105456
EIF3C,ENO2,0.5831242012780724
H2BC14,ACO1,0.6865611543627701
H2BC14,S100A10,0.6902157582065623
H2BC14,NUFIP2,0.6520062138260465
PFDN4,KRT8,0.6692744314689103
PFDN4,PEPD,0.6939942811679638
PFDN4,RPL30,0.6401594486395493
PFDN4,RBM8A,0.6632571248546817
G3BP2,MYL9,0.6679149242985732
G3BP2,RPL29,0.6397915004768884
G3BP2,TMSB4X,0.46024879473616254
G3BP2,RBM8A,0.5035519211789656
RBM8A,ACO1,0.7111873459189778
RBM8A,S100A10,0.4171044688322917
RBM8A,UBAP2L,0.6267316269272387
RBM8A,NUFIP2,0.6433885444102767
RBM8A,SMARCE1,0.6269228455629595
RBM8A,PFDN4,0.6533081694704681
RBM8A,G3BP2,0.49891046544293693
