Regulator,Target,Difference
SMARCE1,CKAP4,0.4007498114845729
SMARCE1,DCTN1,0.4727958271855841
SMARCE1,SF3A1,0.46333384138169564
SMARCE1,HDGFL2,0.7410477356996383
SMARCE1,RBM8A,0.599189805497666
EIF3C,ENO2,0.5560015924969869
H2BC14,ACO1,0.5073357354095785
H2BC14,S100A10,0.5505546686887687
H2BC14,NUFIP2,0.4213606295106901
PFDN4,KRT8,0.4777029965342269
PFDN4,PEPD,0.5176032882822292
PFDN4,RPL30,0.9474437067440804
PFDN4,RBM8A,0.4042826614452589
G3BP2,MYL9,0.8697554721922148
G3BP2,RPL29,0.6342950335348434
G3BP2,TMSB4X,0.6138557551981049
G3BP2,RBM8A,0.3686211628364792
RBM8A,ACO1,0.4622141807420006
RBM8A,S100A10,0.6250053680752548
RBM8A,UBAP2L,0.43574297839624443
RBM8A,NUFIP2,0.4437146867285161
RBM8A,SMARCE1,0.5300494606857857
RBM8A,PFDN4,0.4345513272933059
RBM8A,G3BP2,0.45332321100678363
