"","ctr_1","ctr_2","ctr_3","ctr_4","ctr_7","ctr_8","ctr_9","ctr_10","ctr_11","ctr_14","mg_1","mg_2","mg_3","mg_4","mg_7","mg_8","mg_9","mg_10","mg_11","mg_14"
"O00429",7.55826074012076,7.86538672456163,7.48140127282425,7.45360172763555,7.39081391107595,7.15674214910404,7.27567902855128,7.26690371309745,7.27194186548989,7.39757116360667,7.61012563650424,7.66822928763237,7.60331230905249,7.54914771531997,7.54995574391288,7.30571159504215,7.14250760252105,7.30666268453836,7.09588912694697,7.29248563481874
"O00442",7.25109400578728,7.17026777955037,7.26017181245668,7.03448701889824,7.11552961796084,6.87537763002889,7.81159616935247,7.16139375466632,7.07432078463077,7.19569263243121,7.24084155823712,7.12423755695357,7.17729796069611,7.20914035655187,7.2187470847272,6.53375976540311,7.15755523203477,7.00034898030096,6.9166848534763,7.18109629589028
"O00469",8.84074264762215,8.75016893073883,8.65378489396679,8.64639171947056,8.63794514992604,8.31062236291219,8.29359788861711,8.95662803375935,8.82241003993142,9.04725123753173,8.66448565821084,8.64272308473933,8.48823481474071,8.55306540528506,8.39409913802803,8.12426195584162,8.41953570973035,8.73233413785709,8.73211900360492,8.99453842970397
"O00571",8.37974418068212,8.4806287768253,8.29538178326047,8.20744757309173,8.05274208701098,8.26805117093599,7.9039989626703,8.23768396367002,7.72692980118959,7.58870587942077,8.33674580819513,8.51706225613953,8.42278363034224,8.36695636648803,8.25459760715462,7.91818801923436,7.92849051198774,8.09847508337819,7.75351531678273,7.60441317877366
"O00629",7.59176333730372,7.39653966594139,7.33907685939877,7.32452099555361,7.24461638981818,6.90211150926355,6.69073632088508,6.99764002619,7.28521950911963,7.36528264554308,7.76786358544751,7.37045793329246,7.13534972821984,6.87017479551321,6.93975764994034,6.99499393134587,7.26061331506754,7.23133260827695,7.35652972526649,7.12793732313531
"O00764",7.79126815451181,7.82335159076383,7.83066540982638,7.90901566875006,7.70164872328632,7.69082426921377,7.74106355345347,8.06788102003859,7.66257171626264,7.62249426457591,7.54554007548114,7.6763717688873,7.91826888827229,7.950281616394,8.02095315770678,7.68212575528904,7.69901956905728,7.8331005099032,7.62537082310866,7.70504670715804
"O14558",8.1956966868522,8.23281066085747,8.01431499189464,7.98673247183251,8.44360053160682,8.11055928101475,7.66394753192168,8.06208850785403,7.94634451198209,7.7736012437186,8.16658413765343,8.11970961953912,8.04994505953158,8.1747256069505,7.88500452545582,7.56357338356106,7.75953084244227,8.01305145931107,8.36654940683534,8.08357781594284
"O14579",8.37601727042405,8.35333457401705,8.35136562450779,7.93237182263728,7.95415908058423,7.73475183871096,7.55445832774494,7.91462544791754,7.91899309832398,7.69473377954722,8.19472973969838,8.11372916255102,8.32371920964255,8.25590348267189,8.08048816230199,7.45335755441824,7.36492215256648,8.0187942505188,8.08037928246602,7.82069041059593
"O14737",8.03251955783869,7.96991711532272,8.01253645934424,7.96184514500637,7.4735541405887,7.43586398020732,7.17889317193198,7.18391547290163,7.63098748246096,7.37637799872084,7.95804394465823,7.91324904220262,7.79839936884823,7.85945780604846,7.48232370059217,7.18945160466921,7.45562648995432,7.59006183211094,7.77937479376838,7.58540965877493
"O14745",7.11808969443774,7.0536765865596,7.30246573571655,7.2040042156201,7.38261758566976,7.00228665692064,6.99505403815976,7.1566313374449,7.17810285745798,7.2421429358042,7.33444291679191,7.34721506105008,7.22069005503406,6.83278705424345,7.17249697303866,6.96367581468021,7.32388896658589,7.25172942717468,7.41087361482505,7.01373645659436
"O14818",8.04216911925733,8.27338329701917,8.1444369744343,8.1610858663662,8.21761340628803,7.92780504121224,7.16263633142643,8.17761244156954,7.80764142794739,8.05864405558225,8.14131381308604,8.17413548128453,7.92521116905945,8.2374478605627,8.08658512397072,7.15271089752102,8.03978123312173,8.12597891149357,8.04788002484072,8.04071743945137
"O14907",7.41065270586965,7.35271834395118,7.50306296544203,7.54133221101972,7.17309037766647,7.29175381925292,6.9875865542864,7.08827732436884,7.37978330621801,7.14630071934714,7.34814299857294,7.49378051864279,7.49373310406751,7.41604266126123,7.17201961907105,6.90175587232549,7.3198380827679,7.48908289184388,7.50049640199157,7.30108871426077
