Protein,ctr_1,ctr_2,ctr_3,ctr_4,ctr_7,ctr_8,ctr_9,ctr_10,ctr_11,ctr_14,ctr_21,mg_1,mg_2,mg_3,mg_4,mg_7,mg_8,mg_9,mg_10,mg_11,mg_14,mg_21
Q07866,7.93686107811341,7.82879079940842,7.90460280230046,7.07621648105403,6.9748375840463,7.18591199300745,7.06769285469085,7.05580518489917,7.03862187054414,7.02145598309857,6.97218630790459,7.325064042126,7.22111681534874,7.35061380631477,7.36531976637297,7.16381925370936,7.11796774161213,7.0645406121436,7.22614231934697,7.27440448017875,7.02826385624132,6.9966489047268
Q07954,7.70923904407955,7.23449624819286,7.26705333262357,7.12233955944917,6.91012535077546,7.42747665165197,7.57752526422355,7.59119773733649,7.43109875091297,7.71291942973854,7.5816060825664,7.61583547389043,7.15318560363059,7.17284054966346,7.18305425080853,6.9756054847969,7.52975441599999,7.10897656018904,6.80972156204299,6.74834888772087,7.82911144739421,8.48158388051932
Q13162,7.68097872526327,7.3738239824411,7.64253794904583,7.6654206492698,7.52279192641357,7.60631085648328,7.6691349178452,7.31203638346279,7.51688999018664,7.45592509653369,7.61320920947581,7.59872284986901,7.6664864826656,7.42785085158033,7.64298496684663,7.50232279504713,7.64753029154955,7.56595670987683,7.6176946784071,7.61719694575925,7.79346786295145,8.27050483338558
Q14011,7.34091137353236,7.37633311423191,7.60741579427617,7.50631672547432,7.61386145723636,7.13958220441075,7.19796830798692,6.99023120428541,7.41371664446374,7.34503243695741,7.61012129666552,7.61049026280742,7.57294539351776,7.25699096455012,7.3988871979094,7.14227437018964,7.01425339255416,7.19913786185615,7.80623100579428,7.60900044848347,7.53007940295995,6.92966360392283
Q15459,7.41996597612805,7.83746670380377,7.49476229457508,7.53240083181763,7.17764421142383,7.20247582106963,7.0842394684848,6.69193942492304,7.05423733553072,6.83676231507629,7.54935875596416,7.7640950644394,7.74654017971918,7.43760464009894,7.14581042052363,6.62697500952192,6.60036055944467,7.10945019203265,7.44718391442823,7.09092973359763,7.28113056362189,7.40714761785419
Q15843,7.36556866247109,7.78059629215615,7.80506131588238,7.85042597346678,7.99006444111123,7.75106618477631,7.66197003224536,7.82360504009208,7.88128928671579,7.64811979355693,7.95785360005483,7.8389005118731,7.69573372081387,7.74973352815945,7.7082766670373,7.9312861320486,7.77693731772994,7.80918565619426,7.96247109585528,8.1636643697545,7.8641576036431,7.3422925568324
Q9H0U4,7.71031649025845,7.80972289995307,7.66436730487688,7.45202682673242,7.3801278862799,7.32981495309014,7.25981953543816,7.16902800798757,7.14592981779584,7.25913967300792,7.25460297584679,7.17670781528673,7.53032216081141,7.4535811366742,7.52188898589148,7.3857839601368,7.29023965814946,7.24440324625686,7.34855136389734,7.28960553892948,7.23820958528772,7.25290321648257
Q9UHD8,8.42306202760489,8.23992078717565,8.22295338010435,8.10438982920918,8.03113249340893,7.35906117648481,7.48448322038009,7.74118914179378,7.97411741579056,7.34439331377845,7.83121109151823,8.32507885104117,8.14078316750864,8.12130830708093,7.84331717892712,7.85304264059189,7.57263846388181,7.77792907351406,7.90574492489639,8.02033186126406,7.82236595092846,6.78716841067731
Q9UJZ1,7.89947182520528,7.93567121348497,7.78451885601512,7.63733204063929,7.5777643832862,7.56816778823113,7.92991329439608,8.10929372813419,7.63863026442622,8.37239714103603,8.18721911515216,7.79653639598717,7.90951508911982,7.76562897773528,7.74834849908464,7.91457318691828,7.89375208077751,7.62683633582344,7.78908285004265,7.51615880756941,7.42566986146932,8.74677064730806
Q9UNH7,7.32434103909638,7.30269798301824,7.18784133055609,7.2133147416902,7.237172003988,7.35165416563678,7.42758420529858,7.29413506699018,7.48873638455839,7.5239782743399,6.81878142929361,7.3326006873863,7.23646251164106,7.31698793356605,7.27048214159249,7.37521290985948,7.40710356455513,7.28069731966643,7.33722839121978,7.5383963376257,7.41750504868339,7.51000657209827
