"","ctr_1","ctr_2","ctr_3","ctr_4","ctr_7","ctr_8","ctr_9","mg_1","mg_2","mg_3","mg_4","mg_7","mg_8","mg_9"
"O14818",8.0256054892128,8.25634345887149,8.12766271378832,8.14427731570685,8.20068843165839,7.91147695511749,7.14788418476327,8.12454598489483,8.15730005367313,7.90888842529686,8.22048203494399,8.06993001484148,7.13797919325503,8.02322252116111
"O14907",7.39538974534391,7.33757470488256,7.48760967699242,7.5258001033341,7.15831669987758,7.40503570252235,7.09183552882702,7.33300878287345,7.47834634829583,7.47829903137548,7.43077349113167,7.37841752346333,7.01144010329703,7.30476216379742
"O14974",7.52006584139842,7.49353466672131,7.5336014879944,7.4528093783119,7.22810690408161,7.4329506253364,7.79341505321613,7.51455487893236,7.42349343664819,7.3297153159296,7.33964649082093,6.86080360960024,7.79560982290163,7.4888037319478
"O14979",7.74337531037623,7.80072281548306,7.78760360493346,7.56944785696022,7.45250038773264,7.60388038987215,7.28424747007555,7.53167865398427,7.52605725469911,7.78819642719764,7.75443326722092,7.46949348631542,7.28002405486344,7.40401158299732
"O14980",8.3626037847778,8.27501142637388,8.13433622835107,7.67541776622415,7.58417634910252,7.39159643348763,7.04865980910863,8.17586965023535,7.94497165947077,7.62442616005348,8.20316855575075,7.24245044338313,7.27564901166449,7.12553762557449
"O15067",7.40760861664183,7.44127074520705,6.98781884000771,7.41721546441178,7.45474806217901,7.47116532819169,7.33169068645405,7.37046249510488,7.40434512473291,7.29030568595645,7.29459515235507,7.29251641966802,7.17611688637946,7.28335670105138
"O15116",7.43892317174099,7.40055359773234,7.39529617857441,7.47386376601569,7.36152389111017,7.27687121864005,7.79341505321613,7.37051178330029,7.31758802293364,7.48927995555831,7.5276389811525,7.39936101123669,7.01144010329703,7.27805234898573
"O15143",7.77111224632296,7.8772013913782,7.81991141151423,7.84981810965905,7.68812233295958,7.68884798938778,7.22035175153137,8.11285908621527,7.83316432527755,7.73906545109269,7.52058352082411,7.37877388497437,7.21311493845674,7.61874658895698
"O15144",8.28127136799077,8.09213463885004,8.04142095211351,7.58092324073542,8.00027073680815,7.79793020535608,7.81647128443271,8.43794722239991,7.99051381688619,7.93217880393035,8.03383112160973,8.04933747620679,7.37465546939114,8.15988657636453
"O15145",8.18654742260988,8.05789300372915,8.12708463632198,7.8588944743426,7.64589999711042,8.30917300110204,7.7185786094074,8.04186142104878,7.94651220265764,7.90606024522922,7.92019135198639,7.76938724561797,7.70615993899874,7.34461598120655
"O15212",7.78624224817302,7.81647578771975,7.83724325129216,7.88027073937555,7.85727029337087,7.80640910781287,7.20796317160909,7.65271280156713,7.75081305156558,7.64604187386573,7.80155706826272,7.75699040335617,7.05661736430706,7.58125199785583
"O15231",7.15073376411451,7.43715325334039,7.44937557816416,7.22124481252948,6.91822549855371,7.05495642717042,6.74722829133289,7.28345932542293,7.19097456736071,7.13412885727139,6.94171052647098,6.81694409422353,7.79560982290163,6.90649628171347
"O15371",7.83315804550317,8.09146518922709,7.50209841986578,7.57734329858759,7.60152251755631,7.65541252264498,7.35045940906023,7.69300517861088,7.452560450655,7.63810416835695,7.61730153507621,7.70691037961792,7.37400377418815,7.55241167725989
"O15372",7.86186619404097,7.93628624985217,7.72038333385933,7.4007744230915,7.85533964956477,7.52343176131486,7.29088345171394,7.50154535546009,7.4860783690057,7.57289707908798,7.54803278939118,7.70441147496854,7.26015767183312,7.54593264004386
"O15460",8.1504705066818,8.09486570302317,8.06169623048669,8.05557483497374,8.21492677466651,7.54711567441513,7.95179078076925,8.08044932073795,7.94738299429304,8.05294154630053,8.03344057531114,7.6869007379867,7.71142596997814,8.30998523010277
"O15498",7.2244488684159,7.03806455134658,6.86916481122749,7.10979392915634,7.11207368923983,7.1409500271574,7.17902197559073,7.01336053102432,6.9381517920703,6.7753866013176,7.04628538424563,7.0106131749111,7.0383973195996,7.07578139242102
"O15511",7.87047628995626,8.03137086303893,7.71787475428369,7.4755521035319,7.58382551189053,7.54772057985382,7.28017109971869,7.94755193222794,7.44201907908281,7.71209441380048,7.60624414589949,7.57946368544604,7.28952273174237,7.52275540873078
"O43143",7.97605826101425,8.11571161175696,7.87156892531063,7.56797108254324,7.54081061318868,7.68896316409508,7.77290815602766,7.81692446932964,7.93982457468119,7.68220810215294,7.83013106490134,7.66794205656373,7.56336398563963,7.66299660912325
"O43175",8.11552176275282,8.17062626114499,8.06170722210232,7.95868845288322,8.0531647054988,7.93531427613602,7.89115438563699,8.21729273727317,8.16867781646809,8.09464064712457,8.08053745241335,8.16893729150088,7.89736794151422,8.32812208105609
"O43237",7.47975884871028,7.37874170640752,7.41966093462394,7.34760292995728,7.27948671046705,7.51715009325855,7.23906164931564,7.76761513251998,7.42805178627246,7.46653336565184,7.26426042543695,7.16237725346115,7.23102771929486,7.27389236053569
"O43242",8.31766079805267,8.2043534971337,8.08414520233504,8.0187160037195,7.33580193561428,7.40270997243163,7.33777895750589,8.26328439396882,8.26555123705129,8.11732239530122,7.88307119339327,7.61368090883434,7.30879679212921,6.98900432057214
"O43294",7.5823474103516,7.78871392894315,7.65985036738638,7.72148086138871,7.0404269831913,7.49461087023558,7.79341505321613,7.3217872071646,7.44737948037236,7.63820522631222,7.87622129294026,7.45144548907824,7.79560982290163,7.27766263042902
"O43390",8.10667216712106,8.24932163995241,8.14388783035156,7.94862582136168,7.4106276722659,7.39928233371557,7.276493859239,8.23474098739536,8.21942575215141,8.24347444902738,7.90400079130924,6.8806656723183,7.1594891630045,7.19186986904406
"O43396",8.12942648398394,8.03628130895609,8.04558401119593,8.00540818254517,7.65078034683376,7.40593052272254,7.31061511459608,8.06025971734172,7.87524516344647,7.89151926291823,7.93424200371278,7.34889672126289,7.09361284212744,7.77292373683096
"O43399",8.28745353292556,8.2402140506848,8.35020853039512,8.08420280614657,8.09251869776516,7.88397140694339,7.73267545111571,7.86150088022345,8.06782166059692,8.23652942922002,8.26364625779897,8.02123649799334,7.82991315941042,8.1622015902375
"O43504",7.6867838958348,7.6660198330364,7.79727430168644,7.68706693098835,7.34732426324877,7.22496244779853,7.32136179960489,7.56547983815414,7.56432370467526,7.68418016689609,7.86832589178091,7.09400402521879,7.79560982290163,7.35045043950054
"O43598",7.3297618126688,7.30009549840661,7.29245240524004,7.30332195447371,7.36944359386377,7.43737015886683,6.9354609697195,7.23532105732941,7.20147009358213,7.33791614941332,7.42333704996287,7.12911506228491,6.84562930181646,7.1835699696248
"O43617",7.47040997776413,7.41641081294669,7.50752944630134,7.35496163255279,7.19087104544003,7.08111963685304,7.79341505321613,7.15464271842854,7.22899276240485,7.34499304806418,7.54738300355743,7.18314216703833,7.01144010329703,7.11457011888697
"O43665",7.15685695393039,7.05914263232343,7.17174936995121,7.0101644539278,6.91003442704969,7.05186837388375,7.79341505321613,7.01790925037107,6.9321020347011,6.8894361066244,7.05587615892691,6.99227460304823,7.79560982290163,6.97670107450213
"O43681",7.36750809417511,7.70814131204669,7.5405734418652,7.45323917192281,7.12587215114643,7.29840645427055,7.20884909887204,7.29580182254831,7.67711744982299,7.38247958231509,7.63782896994202,7.70663664157328,7.16189988739995,7.70148931358948
"O43684",7.75633094349418,7.71940249308371,7.67344868043809,7.69501328898509,7.37015846636752,7.48511814813884,7.4621948492088,7.88433517851363,7.59931917542209,7.51713921230093,7.7627581922424,7.37833293072223,7.35169425554412,7.43205032461015
"O43707",9.76325570002108,9.77302696962866,9.80162140826458,9.67568767068131,9.38313869745597,9.14205487396127,8.9798086214883,9.67518301281117,9.61867728745122,9.74049454011603,9.72763513240066,9.32458997411145,8.98284613437309,9.44775474199018
